"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team","biggest_lead"
"2017",681950,"Melbourne Boomers","Boomers","home","Sydney Uni Flames","Flames",89,101,-12,"L","199:55","32","64","50","7","18","38","25","46","54","18","24","75","24","10","34","25","13","3","6","1","21","21","89","5","14","0","39","44","7.7561666666667","9","23","11","6","5","1","0","5"
"2017",681950,"Sydney Uni Flames","Flames","away","Melbourne Boomers","Boomers",101,89,12,"W","199:56","34","70","48","17","28","60","17","42","40","16","20","80","25","14","39","21","10","8","1","6","21","19","101","11","18","8","12","16","27.253333333333","13","23","11","8","3","5","1","13"
"2017",681951,"Sydney Uni Flames","Flames","home","Adelaide Lightning","Lightning",74,77,-3,"L","199:57","31","78","39","2","15","13","29","63","46","10","12","83","24","18","42","15","14","9","3","4","14","15","74","17","19","8","2","44","12.295666666667","9","17","9","2","2","0","0","5"
"2017",681951,"Adelaide Lightning","Lightning","away","Sydney Uni Flames","Flames",77,74,3,"W","199:56","32","66","48","7","15","46","25","51","49","6","8","75","28","12","40","25","19","5","4","3","15","14","77","18","3","5","11","38","22.936166666667","8","17","9","10","6","4","1","9"
"2017",681952,"Dandenong Rangers","Rangers","home","Townsville Fire","Fire",78,59,19,"W","199:58","28","74","37","13","30","43","15","44","34","9","11","81","32","17","49","19","14","11","3","4","12","14","78","19","14","6","14","24","39.101833333333","12","1","1","4","1","3","0","28"
"2017",681952,"Townsville Fire","Fire","away","Dandenong Rangers","Rangers",59,78,-19,"L","200:00","22","66","33","7","22","31","15","44","34","8","11","72","28","13","41","14","16","8","4","3","15","12","59","3","8","1","30","22","0","9","1","1","5","3","2","0",
"2017",681953,"Perth Lynx","Lynx","home","UC Capitals","Capitals",89,76,13,"W","199:56","35","77","45","8","25","32","27","52","51","11","14","78","27","14","41","20","12","8","4","4","20","16","89","17","8","8","15","42","10.131833333333","21","7","6","5","4","1","0","18"
"2017",681953,"UC Capitals","Capitals","away","Perth Lynx","Lynx",76,89,-13,"L","199:55","31","64","48","6","23","26","25","41","60","8","14","57","26","7","33","18","16","4","4","4","16","20","76","5","7","5","25","36","27.386","6","7","6","6","4","2","1","16"
"2017",681954,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx",74,89,-15,"L","199:57","30","72","41","6","22","27","24","50","48","8","9","88","28","16","44","20","16","5","2","0","16","10","74","6","17","11","23","46","16.004166666667","6","5","3","6","3","3","1","10"
"2017",681954,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning",89,74,15,"W","199:55","32","77","41","8","18","44","24","59","40","17","18","94","24","17","41","15","8","10","0","2","10","16","89","9","20","11","8","28","22.562333333333","7","5","3","6","3","3","1","15"
"2017",681955,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",67,75,-8,"L","199:55","24","54","44","5","19","26","19","35","54","14","15","93","29","7","36","15","19","2","1","4","18","15","67","4","7","8","9","24","8.5778333333333","9","11","4","5","3","2","2","6"
"2017",681955,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",75,67,8,"W","199:56","30","67","44","5","18","27","25","49","51","10","13","76","23","11","34","22","10","7","4","1","15","18","75","16","6","6","10","34","28.419666666667","10","11","4","4","2","2","1","9"
"2017",681956,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",85,88,-3,"L","199:55","35","70","50","7","21","33","28","49","57","8","10","80","29","8","37","18","15","5","2","1","15","14","85","9","9","8","11","48","1.3403333333333","12","9","7","3","1","2","0","3"
"2017",681956,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",88,85,3,"W","199:55","35","74","47","8","21","38","27","53","50","10","11","90","26","12","38","25","13","9","1","2","14","15","88","22","12","12","34","46","32.849166666667","14","9","7","7","5","2","0","13"
"2017",681957,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",92,72,20,"W","199:54","36","66","54","5","17","29","31","49","63","15","20","75","39","8","47","21","20","7","6","3","20","20","92","19","9","19","14","52","39.643","13","0","0","5","3","2","0","31"
"2017",681957,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",72,92,-20,"L","199:55","24","74","32","5","18","27","19","56","33","19","28","67","24","16","40","13","11","14","3","6","20","20","72","17","8","11","33","22","0","11","0","0","9","7","2","0",
"2017",681958,"Perth Lynx","Lynx","home","Dandenong Rangers","Rangers",78,73,5,"W","199:56","30","77","38","12","36","33","18","41","43","6","12","50","19","22","41","14","10","10","1","4","14","16","78","24","19","6","12","30","3.7295","11","8","2","3","2","1","1","5"
"2017",681958,"Dandenong Rangers","Rangers","away","Perth Lynx","Lynx",73,78,-5,"L","199:57","28","57","49","6","17","35","22","40","55","11","15","73","28","13","41","21","21","3","4","1","16","13","73","10","18","3","12","36","33.271833333333","7","8","2","4","2","2","2","16"
"2017",681959,"Townsville Fire","Fire","home","Adelaide Lightning","Lightning",64,79,-15,"L","199:56","25","71","35","6","20","30","19","51","37","8","10","80","27","15","42","19","16","9","7","5","10","12","64","13","15","5","12","28","8.6203333333333","8","11","5","3","0","3","0","7"
"2017",681959,"Adelaide Lightning","Lightning","away","Townsville Fire","Fire",79,64,15,"W","199:56","32","70","45","7","19","36","25","51","49","8","11","72","32","11","43","18","15","9","5","7","12","11","79","24","15","4","27","38","28.386833333333","14","11","5","6","2","4","0","18"
"2017",681965,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",86,42,44,"W","199:55","33","71","46","7","23","30","26","48","54","13","17","76","39","13","52","21","16","9","9","2","13","10","86","18","11","19","21","48","38.804333333333","11","2","2","6","5","1","0","49"
"2017",681965,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",42,86,-44,"L","199:56","16","60","26","0","10","0","16","50","32","10","16","62","27","8","35","10","19","11","2","9","10","13","42","12","3","10","4","26","0","8","2","2","7","6","1","1",
"2017",681960,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",67,73,-6,"L","199:54","28","76","36","7","23","30","21","53","39","4","6","66","33","13","46","20","12","5","4","8","19","9","67","13","7","0","25","36","23.7495","10","6","0","10","5","5","0","10"
"2017",681960,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",73,67,6,"W","199:55","26","79","32","6","21","28","20","58","34","15","21","71","37","19","56","21","11","7","8","4","9","18","73","14","7","9","6","28","16.037333333333","8","6","0","9","3","6","1","9"
"2017",681961,"Adelaide Lightning","Lightning","home","Melbourne Boomers","Boomers",62,64,-2,"L","199:56","25","73","34","2","12","16","23","61","37","10","12","83","29","16","45","11","15","12","3","4","16","16","62","16","6","10","22","38","19.2695","9","9","6","4","3","1","1","7"
"2017",681961,"Melbourne Boomers","Boomers","away","Adelaide Lightning","Lightning",64,62,2,"W","199:55","24","68","35","2","14","14","22","54","40","14","15","93","32","13","45","16","19","8","4","3","15","16","64","12","8","8","9","40","17.183666666667","10","9","6","4","2","2","1","10"
"2017",681962,"Sydney Uni Flames","Flames","home","Perth Lynx","Lynx",79,84,-5,"L","199:55","27","69","39","14","29","48","13","40","32","11","17","64","32","17","49","19","18","5","8","4","13","13","79","5","14","7","18","18","0","9","1","1","4","4","0","0",
"2017",681962,"Perth Lynx","Lynx","away","Sydney Uni Flames","Flames",84,79,5,"W","199:57","32","86","37","10","35","28","22","51","43","10","12","83","27","21","48","18","8","13","4","8","13","13","84","14","18","14","5","36","38.480666666667","5","1","1","4","2","2","1","16"
"2017",681963,"Bendigo Spirit","Spirit","home","Townsville Fire","Fire",62,99,-37,"L","199:56","26","60","43","3","18","16","23","42","54","7","10","70","20","6","26","14","19","6","0","0","17","17","62","7","2","8","41","28","0","5","0","0","3","1","2","0",
"2017",681963,"Townsville Fire","Fire","away","Bendigo Spirit","Spirit",99,62,37,"W","199:54","37","66","56","9","18","50","28","48","58","16","19","84","28","10","38","27","14","8","0","0","17","17","99","17","9","10","48","52","39.694166666667","16","0","0","0","0","0","0","37"
"2017",681964,"Dandenong Rangers","Rangers","home","UC Capitals","Capitals",78,81,-3,"L","199:57","34","68","50","5","16","31","29","52","55","5","8","62","19","14","33","15","11","7","2","1","18","14","78","16","12","2","8","38","9.5716666666667","9","11","7","3","1","2","1","4"
"2017",681964,"UC Capitals","Capitals","away","Dandenong Rangers","Rangers",81,78,3,"W","199:55","28","63","44","8","27","29","20","36","55","17","18","94","21","17","38","20","15","6","1","2","14","18","81","7","12","4","14","30","25.0325","7","11","7","1","0","1","0","11"
"2017",681967,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",65,70,-5,"L","199:56","25","62","40","5","16","31","20","46","43","10","13","76","15","13","28","16","16","12","2","8","15","14","65","32","19","8","13","28","3.6846666666667","6","16","10","2","1","1","0","2"
"2017",681967,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",70,65,5,"W","199:55","26","59","44","9","26","34","17","33","51","9","9","100","24","18","42","16","25","9","8","2","15","15","70","10","11","6","5","30","25.747833333333","7","16","10","6","3","3","2","8"
"2017",681968,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",99,82,17,"W","199:54","38","78","48","10","22","45","28","56","50","13","16","81","24","21","45","16","11","10","2","2","16","15","99","16","12","14","20","36","23.095","15","11","5","3","0","3","0","17"
"2017",681968,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",82,99,-17,"L","199:55","32","58","55","7","18","38","25","40","62","11","16","68","23","4","27","19","14","7","2","2","15","16","82","14","4","9","15","46","13.511166666667","7","11","5","2","1","1","1","6"
"2017",681969,"Sydney Uni Flames","Flames","home","Bendigo Spirit","Spirit",90,57,33,"W","199:54","34","65","52","9","18","50","25","47","53","13","16","81","29","12","41","30","12","5","4","2","11","16","90","21","19","15","26","42","38.296833333333","15","8","2","3","2","1","0","35"
"2017",681969,"Bendigo Spirit","Spirit","away","Sydney Uni Flames","Flames",57,90,-33,"L","199:54","23","64","35","7","20","35","16","44","36","4","5","80","20","11","31","12","16","5","2","4","16","11","57","0","12","4","8","20","1.0776666666667","7","8","2","7","5","2","2","1"
"2017",681970,"Townsville Fire","Fire","home","Dandenong Rangers","Rangers",83,71,12,"W","199:55","29","65","44","9","21","42","20","44","45","16","22","72","26","10","36","19","11","9","2","2","20","20","83","19","9","15","18","34","29.135166666667","15","10","3","10","7","3","0","19"
"2017",681970,"Dandenong Rangers","Rangers","away","Townsville Fire","Fire",71,83,-12,"L","199:56","25","57","43","8","25","32","17","32","53","13","17","76","30","8","38","14","17","2","2","2","20","20","71","9","13","11","10","22","8.8558333333333","9","10","3","3","2","1","1","7"
"2017",681971,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",89,92,-3,"L","199:54","34","58","58","5","10","50","29","48","60","16","24","66","29","7","36","30","22","11","2","1","11","20","89","17","5","14","5","52","2.9468333333333","9","5","4","1","1","0","0","4"
"2017",681971,"Perth Lynx","Lynx","away","Melbourne Boomers","Boomers",92,89,3,"W","199:56","36","76","47","11","22","50","25","54","46","9","16","56","23","13","36","16","14","14","1","2","20","11","92","22","15","10","17","24","35.299166666667","7","5","4","4","2","2","0","15"
"2017",681973,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",64,47,17,"W","199:55","25","52","48","5","16","31","20","36","55","9","10","90","37","4","41","20","21","5","7","1","12","10","64","17","5","11","2","24","23.681333333333","20","14","1","6","4","2","0","19"
"2017",681973,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",47,64,-17,"L","199:55","20","71","28","2","14","14","18","57","31","5","6","83","23","14","37","13","13","15","1","7","10","12","47","8","2","10","19","26","14.555666666667","13","14","1","3","0","3","3","5"
"2017",681974,"UC Capitals","Capitals","home","Townsville Fire","Fire",66,99,-33,"L","199:55","25","66","37","6","18","33","19","48","39","10","12","83","22","9","31","19","14","6","4","6","12","8","66","11","10","5","28","32","1.1878333333333","5","2","2","4","1","3","1","2"
"2017",681974,"Townsville Fire","Fire","away","UC Capitals","Capitals",99,66,33,"W","199:55","39","68","57","10","19","52","29","49","59","11","13","84","32","7","39","30","10","6","6","4","8","12","99","13","8","7","53","48","38.006333333333","13","2","2","7","5","2","0","36"
"2017",681976,"Perth Lynx","Lynx","home","Melbourne Boomers","Boomers",84,66,18,"W","199:52","32","75","42","10","25","40","22","50","44","10","13","76","30","14","44","18","11","11","5","1","13","16","84","21","15","14","21","36","21.973666666667","15","6","3","8","6","2","0","22"
"2017",681976,"Melbourne Boomers","Boomers","away","Perth Lynx","Lynx",66,84,-18,"L","199:55","25","66","37","7","27","25","18","39","46","9","11","81","31","10","41","21","20","5","1","5","16","13","66","8","7","9","27","34","16.493166666667","6","6","3","5","4","1","1","9"
"2017",681977,"Sydney Uni Flames","Flames","home","Adelaide Lightning","Lightning",104,97,7,"W","224:54","39","76","51","7","19","36","32","57","56","19","23","82","26","12","38","23","12","10","2","5","15","21","104","20","12","8","15","48","12.074666666667","8","26","12","4","3","1","1","7"
"2017",681977,"Adelaide Lightning","Lightning","away","Sydney Uni Flames","Flames",97,104,-7,"L","224:55","43","78","55","5","17","29","38","61","62","6","9","66","26","11","37","22","15","6","5","2","21","15","97","11","14","2","12","52","26.3905","8","26","12","3","1","2","0","13"
"2017",681978,"Dandenong Rangers","Rangers","home","UC Capitals","Capitals",59,63,-4,"L","199:55","25","65","38","3","16","18","22","49","44","6","8","75","29","10","39","18","18","7","3","3","19","12","59","13","7","0","15","38","5.6308333333333","7","9","4","2","1","1","1","7"
"2017",681978,"UC Capitals","Capitals","away","Dandenong Rangers","Rangers",63,59,4,"W","199:55","22","61","36","6","20","30","16","41","39","13","15","86","31","9","40","16","17","8","3","3","12","17","63","12","5","8","24","26","32.205","9","9","4","8","6","2","0","13"
"2017",681979,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",120,62,58,"W","199:53","43","76","56","15","28","53","28","48","58","19","24","79","34","19","53","28","14","10","6","3","18","21","120","22","18","15","63","52","39.202333333333","14","4","1","5","3","2","0","61"
"2017",681979,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",62,120,-58,"L","199:55","21","59","35","6","19","31","15","40","37","14","21","66","18","7","25","14","17","7","3","6","21","18","62","7","9","4","16","20","0.52966666666667","5","4","1","3","1","2","0","2"
"2017",681980,"Adelaide Lightning","Lightning","home","Bendigo Spirit","Spirit",87,74,13,"W","199:55","33","72","45","6","16","37","27","56","48","15","20","75","28","14","42","24","15","10","4","1","15","18","87","19","16","11","5","48","38.943333333333","8","3","3","3","1","2","0","16"
"2017",681980,"Bendigo Spirit","Spirit","away","Adelaide Lightning","Lightning",74,87,-13,"L","199:53","29","61","47","1","10","10","28","51","54","15","19","78","25","6","31","16","18","10","1","4","18","15","74","14","5","6","23","48","0","7","3","3","2","1","1","2",
"2017",681981,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",107,81,26,"W","199:53","43","88","48","12","24","50","31","64","48","9","11","81","27","19","46","28","8","11","1","5","6","12","107","21","20","24","23","40","38.3","11","2","2","5","3","2","0","26"
"2017",681981,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",81,107,-26,"L","199:55","37","75","49","4","21","19","33","54","61","3","6","50","26","12","38","21","16","6","5","1","12","6","81","6","6","10","48","54","0","6","2","2","2","1","1","0",
"2017",681982,"UC Capitals","Capitals","home","Perth Lynx","Lynx",74,69,5,"W","199:55","28","65","43","7","19","36","21","46","45","11","13","84","36","8","44","24","18","10","4","2","13","13","74","10","8","9","24","30","39.21","9","2","0","4","4","0","0","15"
"2017",681982,"Perth Lynx","Lynx","away","UC Capitals","Capitals",69,74,-5,"L","199:55","27","76","35","6","27","22","21","49","42","9","9","100","28","13","41","16","14","14","2","4","13","13","69","15","12","6","6","24","0.2995","9","2","0","4","3","1","0","1"
"2017",681983,"Melbourne Boomers","Boomers","home","Dandenong Rangers","Rangers",80,45,35,"W","199:55","31","63","49","6","20","30","25","43","58","12","14","85","35","11","46","24","16","13","6","1","9","15","80","17","13","12","27","40","37.7335","19","1","1","2","2","0","0","35"
"2017",681983,"Dandenong Rangers","Rangers","away","Melbourne Boomers","Boomers",45,80,-35,"L","199:56","20","74","27","2","20","10","18","54","33","3","5","60","23","17","40","9","17","13","1","6","15","9","45","6","8","0","8","24","0.205","5","1","1","4","2","2","1","2"
"2017",681984,"Townsville Fire","Fire","home","Perth Lynx","Lynx",83,51,32,"W","199:56","33","69","47","6","24","25","27","45","60","11","12","91","35","14","49","25","17","6","5","0","8","16","83","16","16","7","25","40","39.787166666667","10","0","0","5","4","1","0","32"
"2017",681984,"Perth Lynx","Lynx","away","Townsville Fire","Fire",51,83,-32,"L","199:55","22","78","28","5","24","20","17","54","31","2","3","66","23","17","40","6","14","8","0","5","16","8","51","15","10","8","24","32","0","9","0","0","6","4","2","2",
"2017",681985,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",63,75,-12,"L","199:54","25","61","40","4","13","30","21","48","43","9","14","64","24","11","35","12","15","4","1","4","19","15","63","5","12","2","10","32","1.371","9","1","0","6","2","4","1","2"
