"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team","biggest_lead"
"2018",913474,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals",78,97,-19,"L","200:00","27","61","44","8","22","36","19","39","48","16","24","66","19","10","29","21","16","7","3","5","15","21","78","13","6","4","22","26","0","8","0","0","5","2","3","1",
"2018",913474,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames",97,78,19,"W","200:00","37","64","57","9","21","42","28","43","65","14","19","73","28","10","38","25","16","8","5","3","21","15","97","23","8","23","21","48","39.8","10","0","0","2","1","1","2","31"
"2018",913475,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",66,78,-12,"L","200:00","26","73","35","7","28","25","19","45","42","7","11","63","21","14","35","11","11","9","7","3","19","14","66","18","13","7","15","36","4.9833333333333","9","12","3","8","5","3","1","4"
"2018",913475,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",78,66,12,"W","200:01","28","64","43","5","14","35","23","50","46","17","22","77","33","20","53","20","17","4","3","7","14","19","78","11","15","15","9","32","32.566666666667","11","12","3","12","5","7","2","21"
"2018",913476,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",72,82,-10,"L","200:00","26","60","43","10","25","40","16","35","45","10","13","76","30","12","42","17","23","7","5","3","15","11","72","3","5","16","6","32","10.716666666667","9","6","3","4","2","2","0","6"
"2018",913476,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",82,72,10,"W","200:00","29","68","42","9","19","47","20","49","40","15","21","71","23","10","33","15","11","16","3","5","11","15","82","17","7","7","12","34","28.066666666667","11","6","3","4","4","0","0","19"
"2018",913477,"Townsville Fire","Fire","home","Dandenong Rangers","Rangers",68,73,-5,"L","200:00","27","75","36","5","24","20","22","51","43","9","12","75","38","13","51","13","16","3","3","1","15","19","68","14","11","5","32","38","20.75","6","8","6","3","1","2","0","10"
"2018",913477,"Dandenong Rangers","Rangers","away","Townsville Fire","Fire",73,68,5,"W","200:00","29","77","37","7","20","35","22","57","38","8","13","61","36","14","50","16","14","7","1","3","19","15","73","10","13","11","13","34","13.45","9","8","6","7","5","2","1","6"
"2018",913478,"Adelaide Lightning","Lightning","home","Townsville Fire","Fire",65,75,-10,"L","200:00","23","77","29","7","24","29","16","53","30","12","19","63","22","16","38","12","11","16","1","8","16","14","65","21","10","8","6","24","5.4333333333333","5","10","3","5","4","1","0","3"
"2018",913478,"Townsville Fire","Fire","away","Adelaide Lightning","Lightning",75,65,10,"W","200:01","29","64","45","4","15","26","25","49","51","13","15","86","41","14","55","15","24","4","8","1","15","16","75","7","18","7","24","36","31.851666666667","8","10","3","8","6","2","0","10"
"2018",913479,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",66,62,4,"W","200:00","30","68","44","2","12","16","28","56","50","4","8","50","27","12","39","14","9","8","1","3","11","10","66","19","9","10","9","44","5.0666666666667","8","9","7","3","2","1","1","6"
"2018",913479,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",62,66,-4,"L","200:00","27","62","43","6","25","24","21","37","56","2","3","66","27","9","36","16","17","2","3","1","10","11","62","8","0","6","17","36","30.44","7","9","7","9","7","2","0","11"
"2018",913480,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",65,72,-7,"L","200:00","28","69","40","3","27","11","25","42","59","6","9","66","28","13","41","18","21","4","4","1","23","19","65","18","8","6","14","40","0","8","2","2","7","6","1","0",
"2018",913480,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",72,65,7,"W","200:00","25","67","37","5","22","22","20","45","44","17","22","77","28","17","45","18","17","12","1","4","20","23","72","14","16","4","9","34","37.666666666667","10","2","2","5","2","3","0","22"
"2018",913481,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",87,65,22,"W","199:59","32","61","52","8","18","44","24","43","55","15","17","88","29","7","36","19","13","8","4","3","20","15","87","21","6","12","17","34","28.766666666667","8","7","1","6","5","1","1","24"
"2018",913481,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",65,87,-22,"L","199:59","26","72","36","5","14","35","21","58","36","8","15","53","21","19","40","14","16","7","3","4","15","20","65","17","21","6","23","36","10.25","11","7","1","3","2","1","1","10"
"2018",913483,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",79,75,4,"W","200:00","29","78","37","4","20","20","25","58","43","17","22","77","30","21","51","18","11","6","1","3","13","20","79","16","18","13","19","38","7.2833333333333","7","9","8","6","3","3","0","6"
"2018",913483,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",75,79,-4,"L","200:00","26","59","44","10","24","41","16","35","45","13","15","86","32","3","35","14","16","7","3","1","20","13","75","11","5","2","19","24","28.45","8","9","8","2","2","0","0","9"
"2018",913482,"Perth Lynx","Lynx","home","Townsville Fire","Fire",98,88,10,"W","200:00","34","73","46","15","35","42","19","38","50","15","22","68","23","17","40","23","10","9","3","1","20","21","98","21","21","4","20","28","26.133333333333","11","8","7","6","2","4","0","21"
"2018",913482,"Townsville Fire","Fire","away","Perth Lynx","Lynx",88,98,-10,"L","200:00","29","62","46","13","25","52","16","37","43","17","20","85","26","11","37","23","18","5","1","3","21","20","88","14","11","2","26","26","9.4066666666667","6","8","7","6","4","2","0","10"
"2018",913486,"UC Capitals","Capitals","home","Melbourne Boomers","Boomers",78,84,-6,"L","200:00","21","63","33","6","19","31","15","44","34","30","40","75","28","16","44","13","12","8","3","4","19","25","78","19","12","11","15","22","1.8833333333333","7","9","3","8","4","4","2","2"
"2018",913486,"Melbourne Boomers","Boomers","away","UC Capitals","Capitals",84,78,6,"W","200:01","31","73","42","7","22","31","24","51","47","15","18","83","31","16","47","16","16","7","4","3","25","19","84","16","22","11","11","46","36.483333333333","9","9","3","8","5","3","1","19"
"2018",913485,"Perth Lynx","Lynx","home","Bendigo Spirit","Spirit",77,72,5,"W","200:00","27","66","40","3","14","21","24","52","46","20","25","80","34","8","42","18","7","9","6","4","14","21","77","12","4","17","5","36","38.883333333333","8","0","0","5","4","1","0","28"
"2018",913485,"Bendigo Spirit","Spirit","away","Perth Lynx","Lynx",72,77,-5,"L","200:00","26","74","35","12","37","32","14","37","37","8","12","66","36","15","51","23","14","4","4","6","21","14","72","2","13","6","34","24","0","11","0","0","11","6","5","0",
"2018",913488,"Dandenong Rangers","Rangers","home","Perth Lynx","Lynx",65,90,-25,"L","200:00","25","69","36","5","21","23","20","48","41","10","11","90","22","15","37","16","14","5","2","5","15","17","65","10","11","8","16","28","9.4333333333333","7","12","6","3","2","1","0","7"
"2018",913488,"Perth Lynx","Lynx","away","Dandenong Rangers","Rangers",90,65,25,"W","200:00","36","77","46","7","29","24","29","48","60","11","17","64","29","22","51","15","12","10","5","2","17","15","90","17","25","8","19","50","27.483333333333","14","12","6","4","4","0","1","29"
"2018",913489,"Adelaide Lightning","Lightning","home","Bendigo Spirit","Spirit",91,63,28,"W","200:00","30","80","37","10","27","37","20","53","37","21","28","75","38","19","57","24","9","4","7","3","16","24","91","14","15","5","24","36","33.59","11","11","6","6","3","3","0","32"
"2018",913489,"Bendigo Spirit","Spirit","away","Adelaide Lightning","Lightning",63,91,-28,"L","200:00","25","70","35","4","20","20","21","50","42","9","16","56","33","11","44","18","14","7","3","7","24","16","63","15","9","5","21","32","4.41","8","11","6","7","6","1","0","4"
"2018",913491,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers",75,101,-26,"L","200:00","27","63","42","6","14","42","21","49","42","15","18","83","22","10","32","18","20","8","0","8","15","16","75","13","9","4","12","30","0.45","6","9","6","2","0","2","0","2"
"2018",913491,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers",101,75,26,"W","200:00","36","62","58","9","26","34","27","36","75","20","25","80","26","6","32","24","15","14","8","0","16","15","101","12","5","16","15","44","36.25","10","9","6","2","1","1","1","26"
"2018",913492,"Bendigo Spirit","Spirit","home","Adelaide Lightning","Lightning",70,52,18,"W","200:00","24","59","40","8","22","36","16","37","43","14","23","60","33","12","45","13","16","8","7","4","15","21","70","18","17","2","14","26","37.316666666667","7","2","2","9","5","4","2","18"
"2018",913492,"Adelaide Lightning","Lightning","away","Bendigo Spirit","Spirit",52,70,-18,"L","200:00","21","66","31","3","18","16","18","48","37","7","12","58","26","12","38","15","16","8","4","7","21","15","52","11","4","17","10","34","0.4","5","2","2","8","2","6","0","2"
"2018",913493,"Townsville Fire","Fire","home","Perth Lynx","Lynx",71,79,-8,"L","225:00","28","79","35","7","25","28","21","54","38","8","12","66","38","11","49","14","19","2","8","7","20","17","71","3","12","0","12","20","0","10","2","2","9","6","3","0",
"2018",913493,"Perth Lynx","Lynx","away","Townsville Fire","Fire",79,71,8,"W","225:00","30","77","38","6","20","30","24","57","42","13","20","65","41","10","51","10","13","11","7","8","17","20","79","28","12","11","15","38","43.716666666667","10","2","2","10","6","4","2","21"
"2018",913494,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",84,79,5,"W","200:00","30","66","45","7","24","29","23","42","54","17","19","89","25","13","38","19","19","8","4","0","18","21","84","15","11","4","17","42","26.466666666667","9","15","5","5","4","1","0","11"
"2018",913494,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",79,84,-5,"L","200:00","29","68","42","7","23","30","22","45","48","14","18","77","25","14","39","20","20","8","0","4","22","17","79","16","15","9","19","40","10.3","7","15","5","6","2","4","1","7"
"2018",913495,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",58,60,-2,"L","200:00","22","62","35","7","23","30","15","39","38","7","8","87","29","10","39","13","11","7","3","2","11","11","58","13","8","7","9","28","26.716666666667","6","20","4","2","2","0","0","8"
"2018",913495,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",60,58,2,"W","200:00","22","61","36","7","20","35","15","41","36","9","9","100","31","9","40","7","13","6","2","3","11","11","60","9","2","4","6","18","11.516666666667","8","20","4","3","3","0","1","3"
"2018",913496,"Melbourne Boomers","Boomers","home","Sydney Uni Flames","Flames",96,79,17,"W","200:00","36","77","46","17","40","42","19","37","51","7","7","100","22","16","38","23","11","9","4","0","16","12","96","22","20","7","10","28","34.411666666667","16","8","3","7","4","3","0","24"
