"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","first_name","family_name","scoreboard_name","shirt_number"
2018,913474,268,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,89,63,"Belinda","Snell","B. Snell",12
2018,913474,272,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"3pt","jumpshot",0,0,71,83,"Belinda","Snell","B. Snell",12
2018,913474,281,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,93,68,"Alex","Bunton","A. Bunton",13
2018,913474,287,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,94,43,"Alex","Bunton","A. Bunton",13
2018,913474,298,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,95,45,"Amanda","Johnson","A. Johnson",11
2018,913474,306,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"3pt","jumpshot",0,0,80,9,"Amanda","Johnson","A. Johnson",11
2018,913474,332,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,95,49,"Amanda","Johnson","A. Johnson",11
2018,913474,340,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,93,86,"Sarah","Graham","S. Graham",44
2018,913474,344,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,85,68,"Brittany","Smart","B. Smart",3
2018,913474,347,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,94,45,"Alex","Bunton","A. Bunton",13
2018,913474,367,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"3pt","jumpshot",1,3,69,75,"Brittany","Smart","B. Smart",3
2018,913474,381,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"3pt","jumpshot",0,0,68,75,"Alex","Wilson","A. Wilson",8
2018,913474,385,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",3,"3pt","jumpshot",0,0,54,13,"Belinda","Snell","B. Snell",12
2018,913474,398,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","jumpshot",0,0,93,48,"Belinda","Snell","B. Snell",12
2018,913474,403,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"3pt","jumpshot",0,0,75,13,"Belinda","Snell","B. Snell",12
2018,913474,406,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"3pt","jumpshot",0,0,97,3,"Brittany","Smart","B. Smart",3
2018,913474,412,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","jumpshot",0,0,92,68,"Brittany","Smart","B. Smart",3
2018,913474,414,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","jumpshot",0,0,85,62,"Brittany","Smart","B. Smart",3
2018,913474,423,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","jumpshot",0,0,93,66,"Alex","Bunton","A. Bunton",13
2018,913474,471,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"3pt","jumpshot",1,3,79,92,"Tahlia","Tupaea","T. Tupaea",4
2018,913474,474,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"3pt","jumpshot",1,3,66,76,"Brittany","Smart","B. Smart",3
2018,913474,477,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","layup",1,2,94,58,"Tahlia","Tupaea","T. Tupaea",4
2018,913474,485,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","alleyoop",1,2,96,45,"Brittany","Smart","B. Smart",3
2018,913474,489,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"3pt","jumpshot",0,0,67,27,"Brittany","Smart","B. Smart",3
2018,913474,524,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",4,"2pt","jumpshot",1,2,83,48,"Lara","McSpadden","L. McSpadden",14
2018,913474,6,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",1,2,92,44,"Kelsey","Griffin","K. Griffin",23
2018,913474,13,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"3pt","jumpshot",1,3,75,10,"Lauren","Scherf","L. Scherf",7
2018,913474,16,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,96,44,"Lauren","Scherf","L. Scherf",7
2018,913474,21,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"3pt","jumpshot",1,3,94,3,"Maddison","Rocci","M. Rocci",9
2018,913474,26,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,96,58,"Kia","Nurse","K. Nurse",11
2018,913474,30,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"3pt","jumpshot",0,0,73,91,"Kia","Nurse","K. Nurse",11
2018,913474,40,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",1,2,95,42,"Kelsey","Griffin","K. Griffin",23
2018,913474,44,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",0,0,93,36,"Kelly","Wilson","K. Wilson",22
2018,913474,48,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,96,45,"Kia","Nurse","K. Nurse",11
2018,913474,51,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,93,64,"Maddison","Rocci","M. Rocci",9
2018,913474,56,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,94,55,"Kelly","Wilson","K. Wilson",22
2018,913474,66,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",1,2,89,53,"Lauren","Scherf","L. Scherf",7
2018,913474,69,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"3pt","jumpshot",0,0,67,66,"Lauren","Scherf","L. Scherf",7
2018,913474,72,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",0,0,90,76,"Lauren","Scherf","L. Scherf",7
2018,913474,75,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","layup",1,2,94,62,"Keely","Froling","K. Froling",21
2018,913474,86,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",1,2,92,56,"Kaili","McLaren","K. McLaren",41
2018,913474,97,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",0,0,83,52,"Keely","Froling","K. Froling",21
2018,913474,99,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"3pt","jumpshot",1,3,93,97,"Keely","Froling","K. Froling",21
2018,913474,103,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",1,"2pt","jumpshot",1,2,98,44,"Kaili","McLaren","K. McLaren",41
2018,913474,128,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",1,2,77,52,"Kia","Nurse","K. Nurse",11
2018,913474,134,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","layup",1,2,96,42,"Keely","Froling","K. Froling",21
2018,913474,136,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",1,2,82,75,"Kaili","McLaren","K. McLaren",41
2018,913474,148,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","layup",1,2,94,45,"Kelsey","Griffin","K. Griffin",23
2018,913474,151,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",0,0,91,41,"Kia","Nurse","K. Nurse",11
2018,913474,170,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",1,2,83,65,"Lauren","Scherf","L. Scherf",7
2018,913474,177,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",0,0,82,69,"Kia","Nurse","K. Nurse",11
2018,913474,181,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,76,93,"Kia","Nurse","K. Nurse",11
2018,913474,185,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,74,88,"Kia","Nurse","K. Nurse",11
2018,913474,188,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",0,0,83,36,"Lauren","Scherf","L. Scherf",7
2018,913474,198,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","jumpshot",0,0,81,51,"Kelly","Wilson","K. Wilson",22
2018,913474,206,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","layup",1,2,95,45,"Lauren","Scherf","L. Scherf",7
2018,913474,214,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,68,65,"Kia","Nurse","K. Nurse",11
2018,913474,222,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,64,48,"Kia","Nurse","K. Nurse",11
2018,913474,227,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"2pt","layup",1,2,95,45,"Maddison","Rocci","M. Rocci",9
2018,913474,238,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,67,33,"Kaili","McLaren","K. McLaren",41
2018,913474,242,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",0,0,72,76,"Kelly","Wilson","K. Wilson",22
2018,913474,246,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",2,"3pt","jumpshot",1,3,69,79,"Kaili","McLaren","K. McLaren",41
2018,913474,258,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,8,60,"Kelsey","Griffin","K. Griffin",23
2018,913474,264,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,10,27,"Kelsey","Griffin","K. Griffin",23
2018,913474,266,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",1,2,21,51,"Lauren","Scherf","L. Scherf",7
2018,913474,274,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,9,82,"Kelsey","Griffin","K. Griffin",23
2018,913474,283,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,7,66,"Kia","Nurse","K. Nurse",11
2018,913474,292,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","layup",1,2,10,51,"Maddison","Rocci","M. Rocci",9
2018,913474,305,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","layup",1,2,6,53,"Kelly","Wilson","K. Wilson",22
2018,913474,314,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"3pt","jumpshot",0,0,28,86,"Kia","Nurse","K. Nurse",11
2018,913474,323,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",1,2,5,59,"Kelsey","Griffin","K. Griffin",23
2018,913474,335,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","layup",1,2,8,55,"Maddison","Rocci","M. Rocci",9
2018,913474,342,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,18,68,"Kia","Nurse","K. Nurse",11
2018,913474,352,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,18,64,"Kaili","McLaren","K. McLaren",41
2018,913474,369,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"2pt","jumpshot",0,0,9,66,"Kelly","Wilson","K. Wilson",22
2018,913474,383,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",3,"3pt","jumpshot",0,0,32,77,"Kelly","Wilson","K. Wilson",22
2018,913474,401,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","jumpshot",1,2,9,60,"Lauren","Scherf","L. Scherf",7
2018,913474,405,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","layup",1,2,5,46,"Lauren","Scherf","L. Scherf",7
2018,913474,408,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,21,92,"Kia","Nurse","K. Nurse",11
2018,913474,416,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,28,8,"Maddison","Rocci","M. Rocci",9
2018,913474,451,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,31,77,"Kia","Nurse","K. Nurse",11
2018,913474,453,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,24,89,"Maddison","Rocci","M. Rocci",9
2018,913474,457,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","jumpshot",1,2,4,60,"Kia","Nurse","K. Nurse",11
2018,913474,465,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","jumpshot",0,0,9,24,"Hannah","Young","H. Young",2
2018,913474,476,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","layup",1,2,8,49,"Kia","Nurse","K. Nurse",11
2018,913474,487,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,27,10,"Isabelle","Bourne","I. Bourne",14
2018,913474,511,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"2pt","jumpshot",1,2,19,32,"Kaili","McLaren","K. McLaren",41
2018,913474,518,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,30,26,"Elizajane","Loader","E. Loader",25
2018,913474,520,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames","REGULAR",4,"3pt","jumpshot",0,0,28,17,"Abby","Cubillo","A. Cubillo",8
2018,913475,6,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",0,0,93,3,"Katie","Ebzery","K. Ebzery",10
2018,913475,26,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","drivinglayup",1,2,94,46,"Brittany","McPhee","B. McPhee",24
2018,913475,29,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","jumpshot",0,0,94,15,"Kayla","Steindl","K. Steindl",12
2018,913475,36,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",0,0,69,57,"Asia","Taylor","A. Taylor",31
2018,913475,46,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",0,0,90,4,"Brittany","McPhee","B. McPhee",24
2018,913475,52,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","jumpshot",0,0,93,57,"Kayla","Steindl","K. Steindl",12
2018,913475,55,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","drivinglayup",1,2,95,45,"Brittany","McPhee","B. McPhee",24
2018,913475,64,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",1,3,71,71,"Kayla","Steindl","K. Steindl",12
