"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330508,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",80,75,5,"W","200:00","29","67","43","10","22","45","19","45","42","12","17","70","35","11","46","16","15","3","4","4","11","16","11","80","11","5","5","5","28","12.1","9","8","14","7","0","7","3","4","0"
"2019",1330509,"UC Capitals","Capitals","home","Townsville Fire","Fire",87,78,9,"W","200:00","33","62","53","6","17","35","27","45","60","15","22","68","32","6","38","14","13","9","3","2","12","17","12","87","14","2","14","27","46","32.216666666667","15","11","8","3","0","5","4","1","0"
"2019",1330509,"Townsville Fire","Fire","away","UC Capitals","Capitals",78,87,-9,"L","200:00","30","68","44","10","27","37","20","41","48","8","10","80","25","8","33","19","15","10","2","3","17","12","17","78","17","12","7","26","34","4.4","5","10","8","3","0","6","5","1","0"
"2019",1330510,"Melbourne Boomers","Boomers","home","Sydney Uni Flames","Flames",94,81,13,"W","200:00","38","74","51","12","25","48","26","49","53","6","8","75","27","8","35","24","10","11","7","1","16","9","16","94","16","6","11","18","38","22.416666666667","16","15","3","1","0","4","3","1","1"
"2019",1330510,"Sydney Uni Flames","Flames","away","Melbourne Boomers","Boomers",81,94,-13,"L","200:00","29","66","43","11","23","47","18","43","41","12","12","100","29","10","39","17","17","4","1","7","10","16","10","81","11","6","8","9","32","15.8","12","11","3","1","0","9","7","2","0"
"2019",1330512,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx",79,69,10,"W","200:00","30","75","40","3","19","15","27","56","48","16","22","72","35","21","56","14","18","11","9","1","8","17","8","79","18","13","19","7","50","35.093333333333","15","10","6","2","0","11","8","3","0"
"2019",1330512,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning",69,79,-10,"L","200:00","27","77","35","9","29","31","18","48","37","6","6","100","28","15","43","13","17","9","1","9","17","8","17","69","18","6","6","33","26","3.2233333333333","3","8","6","2","0","5","3","2","1"
"2019",1330513,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",66,91,-25,"L","200:00","26","61","42","6","18","33","20","43","46","8","15","53","26","7","33","15","16","8","0","4","17","16","17","66","13","6","2","31","34","0.21666666666667","1","9","4","2","0","4","2","2","0"
"2019",1330513,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",91,66,25,"W","200:00","33","70","47","14","28","50","19","42","45","11","14","78","32","11","43","19","13","4","4","0","16","17","16","91","9","6","8","9","26","38.4","25","10","4","2","0","4","2","2","0"
"2019",1330514,"Southside Flyers","Flyers","home","Melbourne Boomers","Boomers",89,82,7,"W","200:00","30","64","46","7","20","35","23","44","52","22","23","95","24","11","35","20","11","8","3","1","11","18","11","89","14","10","4","6","44","35.116666666667","20","17","7","7","0","4","1","3","0"
