"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","efficiency_custom","turnovers_team"
"2016",311855,"Sydney Uni Flames","Flames","away","Melbourne Boomers","Boomers",80,71,9,"W","199:57","27","58","46","6","19","31","21","39","53","20","27","74","35","14","49","20","18","4","2","2","17","21","80","12","15","2","18","26","36.5765","21","8","6","2","8","7","1","0","0"
"2016",311856,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",69,77,-8,"L","199:56","23","64","35","3","14","21","20","50","40","20","24","83","28","14","42","12","12","2","1","5","17","19","69","13","17","4","5","38","8.3891666666667","4","10","19","11","7","3","4","0","1"
"2016",311856,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",77,69,8,"W","199:56","27","62","43","8","15","53","19","47","40","15","18","83","28","7","35","13","8","5","5","1","19","17","77","13","6","4","12","28","26.498","18","17","19","11","5","4","1","0","1"
"2016",311857,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",73,84,-11,"L","199:56","28","69","40","5","24","20","23","45","51","12","13","92","19","13","32","13","10","6","2","2","15","17","73","16","12","0","17","32","1.233","2","10","4","2","0","0","0","0","0"
"2016",311857,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",84,73,11,"W","199:55","31","69","44","10","18","55","21","51","41","12","13","92","22","14","36","13","14","4","2","2","17","15","84","12","18","0","8","30","36.623","23","10","4","2","0","0","0","0","1"
"2016",311858,"Adelaide Lightning","Lightning","home","Dandenong Rangers","Rangers",64,79,-15,"L","199:55","25","67","37","4","20","20","21","47","44","10","13","76","22","10","32","15","17","9","2","4","23","16","64","18","8","0","10","32","1.1266666666667","2","5","7","5","9","7","2","0","0"
"2016",311858,"Dandenong Rangers","Rangers","away","Adelaide Lightning","Lightning",79,64,15,"W","199:56","28","69","40","2","13","15","26","56","46","21","24","87","32","19","51","11","19","13","4","2","16","23","79","18","8","2","14","28","33.168333333333","20","13","7","5","8","7","1","0","2"
"2016",311859,"Sydney Uni Flames","Flames","home","Bendigo Spirit","Spirit",55,70,-15,"L","199:55","24","65","36","6","21","28","18","44","40","1","1","100","23","11","34","15","16","5","6","5","11","8","55","10","13","6","8","30","0.182","1","5","2","0","1","0","1","0","0"
"2016",311859,"Bendigo Spirit","Spirit","away","Sydney Uni Flames","Flames",70,55,15,"W","199:55","29","62","46","3","14","21","26","48","54","9","11","81","30","11","41","17","14","14","5","6","8","11","70","19","11","12","17","38","39.048333333333","15","8","2","0","6","4","2","0","0"
"2016",311860,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",93,66,27,"W","199:55","26","68","38","5","21","23","21","47","44","36","41","87","30","15","45","8","11","6","0","3","14","27","93","21","19","2","16","38","39.307666666667","27","9","1","1","7","4","3","0","0"
"2016",311860,"Melbourne Boomers","Boomers","away","Townsville Fire","Fire",66,93,-27,"L","199:54","25","70","35","7","23","30","18","47","38","9","12","75","28","14","42","13","20","3","3","0","28","14","66","12","10","0","19","22","0",,"5","1","1","5","4","1","0","1"
"2016",311861,"Perth Lynx","Lynx","home","Dandenong Rangers","Rangers",71,92,-21,"L","199:55","22","67","32","9","33","27","13","34","38","18","22","81","21","13","34","13","13","10","4","0","17","16","71","14","12","4","11","26","2.4751666666667","3","6","6","3","3","2","1","0","0"
"2016",311861,"Dandenong Rangers","Rangers","away","Perth Lynx","Lynx",92,71,21,"W","199:56","36","68","52","11","17","64","25","51","49","9","11","81","33","11","44","21","16","9","0","4","16","17","92","11","17","1","43","36","35.799833333333","24","9","6","3","4","2","2","0","1"
"2016",311862,"Adelaide Lightning","Lightning","home","Townsville Fire","Fire",68,74,-6,"L","199:56","28","68","41","2","11","18","26","57","45","10","15","66","35","12","47","14","15","3","3","3","20","17","68","6","11","4","21","36","16.784833333333","9","6","23","7","6","4","2","0","0"
"2016",311862,"Townsville Fire","Fire","away","Adelaide Lightning","Lightning",74,68,6,"W","199:57","24","76","31","6","22","27","18","54","33","20","27","74","28","21","49","11","10","6","3","3","17","20","74","17","11","6","14","28","18.268666666667","6","12","23","7","4","2","2","0","0"
"2016",311863,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",70,60,10,"W","199:55","25","73","34","5","18","27","20","55","36","15","19","78","29","21","50","15","12","5","2","9","15","18","70","12","16","8","11","32","37.983166666667","15","8","2","2","10","7","3","0","0"
"2016",311863,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",60,70,-10,"L","199:56","23","59","38","3","14","21","20","45","44","11","14","78","24","9","33","13","16","7","9","2","18","15","60","13","7","2","5","26","0.173","2","11","2","2","4","2","2","0","1"
"2016",311864,"Sydney Uni Flames","Flames","home","Dandenong Rangers","Rangers",82,67,15,"W","199:55","31","68","45","9","27","33","22","41","53","11","16","68","33","19","52","21","14","5","9","3","14","15","82","6","16","2","29","40","23.167","16","9","20","8","4","2","2","0","1"
"2016",311864,"Dandenong Rangers","Rangers","away","Sydney Uni Flames","Flames",67,82,-15,"L","199:57","27","73","36","7","26","26","20","47","42","6","7","85","19","14","33","16","7","5","3","9","15","14","67","12","10","2","18","28","11.374666666667","4","5","20","8","6","4","2","0","0"
"2016",311865,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",70,50,20,"W","199:55","28","72","38","4","13","30","24","59","40","10","13","76","27","17","44","16","11","6","0","3","15","14","70","17","13","2","28","28","36.1995","21","14","3","3","7","3","4","0","0"
"2016",311865,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",50,70,-20,"L","199:56","20","66","30","2","9","22","18","57","31","8","11","72","27","19","46","15","17","5","3","0","14","15","50","6","12","2","6","30","0.32966666666667","2","6","3","3","4","1","3","0","1"
"2016",311866,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",102,52,50,"W","199:55","39","79","49","17","38","44","22","41","53","7","8","87","25","12","37","22","8","15","9","2","17","11","102","23","13","5","26","38","39.691666666667","54","18","0","0","7","3","4","0","0"
"2016",311866,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",52,102,-50,"L","199:55","20","65","30","2","15","13","18","50","36","10","15","66","28","19","47","11","27","6","2","9","11","16","52","7","9","0","14","32","0",,"6","0","0","16","6","10","0","2"
"2016",311867,"Adelaide Lightning","Lightning","home","Sydney Uni Flames","Flames",72,89,-17,"L","199:54","29","74","39","5","21","23","24","53","45","9","22","40","19","16","35","16","12","12","7","3","17","20","72","21","18","2","26","40","0",,"10","0","0","5","1","4","0","0"
"2016",311867,"Sydney Uni Flames","Flames","away","Adelaide Lightning","Lightning",89,72,17,"W","199:55","32","71","45","13","27","48","19","44","43","12","18","66","35","20","55","21","24","7","3","7","20","17","89","14","14","0","11","34","39.742333333333","26","11","0","0","3","3","0","0","2"
"2016",311868,"Perth Lynx","Lynx","home","Sydney Uni Flames","Flames",69,93,-24,"L","199:56","23","75","30","7","33","21","16","42","38","16","20","80","22","16","38","12","13","9","1","2","16","19","69","12","13","0","13","24","0.86633333333333","3","6","3","2","4","1","3","0","0"
"2016",311868,"Sydney Uni Flames","Flames","away","Perth Lynx","Lynx",93,69,24,"W","199:55","35","66","53","10","21","47","25","45","55","13","16","81","37","9","46","19","17","9","2","1","20","16","93","7","9","6","22","40","36.816833333333","24","16","3","2","7","6","1","0","1"
"2016",311869,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",88,75,13,"W","199:56","27","65","41","6","17","35","21","48","43","28","35","80","26","13","39","15","12","10","3","4","18","23","88","19","16","0","21","32","38.730833333333","17","10","4","4","1","0","1","0","0"
"2016",311869,"Melbourne Boomers","Boomers","away","Townsville Fire","Fire",75,88,-13,"L","199:53","24","64","37","5","17","29","19","47","40","22","24","91","30","15","45","12","18","5","4","3","24","18","75","7","17","0","34","18","0",,"7","4","4","6","3","3","0","1"
"2016",311870,"Townsville Fire","Fire","home","UC Capitals","Capitals",93,60,33,"W","199:54","39","83","46","8","20","40","31","63","49","7","10","70","36","23","59","20","11","4","3","2","12","16","93","14","26","0","33","54","39.066","40","15","0","0","8","4","4","0","0"
"2016",311870,"UC Capitals","Capitals","away","Townsville Fire","Fire",60,93,-33,"L","199:55","23","77","29","6","21","28","17","56","30","8","9","88","21","17","38","9","13","4","2","3","16","12","60","3","14","0","10","20","0",,"6","0","0","5","1","4","0","0"
"2016",311872,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",67,71,-4,"L","199:56","24","64","37","3","10","30","21","54","38","16","18","88","21","12","33","14","11","11","1","7","11","18","67","24","10","6","21","20","2.4663333333333","3","9","10","2","3","2","1","0","1"
"2016",311872,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",71,67,4,"W","199:55","31","66","46","4","14","28","27","52","51","5","8","62","30","15","45","16","18","4","7","1","18","11","71","13","15","0","10","44","36.604","12","9","10","2","2","0","2","0","0"
"2016",311871,"Perth Lynx","Lynx","home","Bendigo Spirit","Spirit",108,67,41,"W","199:55","40","71","56","9","24","37","31","47","65","19","25","76","33","11","44","24","14","15","10","7","19","19","108","31","13","8","27","52","39.675","48","17","0","0","8","6","2","0","0"
"2016",311871,"Bendigo Spirit","Spirit","away","Perth Lynx","Lynx",67,108,-41,"L","199:56","23","72","31","7","24","29","16","48","33","14","22","63","23","19","42","17","21","10","7","10","19","19","67","11","15","11","31","30","0",,"6","0","0","8","3","5","0","2"
