"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","scoreboard_name","shirt_number"
2017,681904,7,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",1,2,13,44,"S. Blicavs",15
2017,681904,10,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,19,58,"S. Blicavs",8
2017,681904,14,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,31,41,"S. Blicavs",8
2017,681904,18,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,26,77,"c. Mijovic",11
2017,681904,22,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,28,72,"T. Lavey",5
2017,681904,25,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,5,85,"S. Blicavs",15
2017,681904,29,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",1,2,13,63,"S. Blicavs",8
2017,681904,35,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,12,47,"S. Blicavs",8
2017,681904,38,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",0,0,8,60,"S. Blicavs",8
2017,681904,41,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,9,59,"K. Pedersen",2
2017,681904,43,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,8,51,"S. Blicavs",15
