"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2015",137248,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx",52,65,-13,"L","199:54","18","71","25","3","21","14","15","50","30","13","20","65","25","15","40","12","16","10","0","5","15","19","52","9","4","0","20","22"
"2015",137248,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning",65,52,13,"W","199:55","26","67","38","7","26","26","19","41","46","6","10","60","32","10","42","22","19","5","4","0","19","15","65","11","8","0","13","30"
"2015",137249,"Melbourne Boomers","Boomers","home","SEQ Stars","Stars",64,76,-12,"L","199:34","23","56","41","5","16","31","18","40","45","13","16","81","23","10","33","16","25","4","8","1","16","19","64","9","9","6","4","26"
"2015",137249,"SEQ Stars","Stars","away","Melbourne Boomers","Boomers",76,64,12,"W","199:56","27","70","38","8","15","53","19","55","34","14","16","87","20","11","31","18","16","10","1","8","19","16","76","20","12","12","28","28"
"2015",137250,"Perth Lynx","Lynx","home","Dandenong Rangers","Rangers",83,66,17,"W","199:54","33","74","44","7","21","33","26","53","49","10","10","100","18","14","32","17","16","8","8","2","11","12","83","15","10","2","29","32"
"2015",137250,"Dandenong Rangers","Rangers","away","Perth Lynx","Lynx",66,83,-17,"L","199:53","27","78","34","4","17","23","23","61","37","8","10","80","18","22","40","13","18","4","2","8","12","11","66","9","13","0","25","34"
"2015",137251,"Sydney Uni Flames","Flames","home","Adelaide Lightning","Lightning",84,79,5,"W","199:56","29","59","49","8","16","50","21","43","48","18","19","94","24","7","31","15","16","2","5","3","13","21","84","21","9","0","23","22"
"2015",137251,"Adelaide Lightning","Lightning","away","Sydney Uni Flames","Flames",79,84,-5,"L","199:55","30","68","44","8","19","42","22","49","44","11","15","73","19","11","30","16","14","8","3","5","21","13","79","20","12","0","13","28"
"2015",137252,"SEQ Stars","Stars","home","Melbourne Boomers","Boomers",78,62,16,"W","199:56","28","70","40","6","22","27","22","48","45","16","19","84","28","13","41","10","12","7","4","5","13","18","78","15","5","2","27","34"
"2015",137252,"Melbourne Boomers","Boomers","away","SEQ Stars","Stars",62,78,-16,"L","199:55","24","61","39","6","15","40","18","46","39","8","10","80","26","7","33","9","19","3","5","4","19","13","62","2","5","2","4","18"
"2015",137253,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",71,78,-7,"L","199:55","23","68","33","5","22","22","18","46","39","20","22","90","18","12","30","13","10","7","9","0","18","24","71","13","7","2","29","34"
"2015",137253,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",78,71,7,"W","199:57","29","74","39","5","10","50","24","64","37","15","18","83","33","19","52","11","16","3","0","9","24","18","78","8","13","0","37","32"
"2015",137254,"Bendigo Spirit","Spirit","home","Perth Lynx","Lynx",73,86,-13,"L","199:55","25","68","36","9","24","37","16","44","36","14","18","77","19","16","35","16","20","8","3","6","23","17","73","18","13","7","10","28"
