"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2015",137290,"SEQ Stars","Stars","home","Dandenong Rangers","Rangers",66,72,-6,"L","199:55","23","76","30","4","22","18","19","54","35","16","18","88","28","18","46","9","10","5","4","4","20","17","66","5","7","0","16","26"
"2015",137290,"Dandenong Rangers","Rangers","away","SEQ Stars","Stars",72,66,6,"W","199:42","25","61","40","4","9","44","21","52","40","18","23","78","28","4","32","11","11","4","4","4","17","20","72","4","4","0","13","30"
"2015",137291,"Adelaide Lightning","Lightning","home","Townsville Fire","Fire",60,88,-28,"L","199:56","22","63","34","6","15","40","16","48","33","10","20","50","15","15","30","10","15","5","2","7","21","13","60","11","17","0","12","22"
"2015",137291,"Townsville Fire","Fire","away","Adelaide Lightning","Lightning",88,60,28,"W","199:54","33","67","49","8","26","30","25","41","60","14","24","58","27","17","44","22","11","6","7","2","13","21","88","11","10","0","21","40"
"2015",137292,"Sydney Uni Flames","Flames","home","Perth Lynx","Lynx",83,73,10,"W","199:56","28","63","44","6","19","31","22","44","50","21","21","100","25","9","34","18","13","5","8","2","16","19","83","13","8","0","22","28"
"2015",137292,"Perth Lynx","Lynx","away","Sydney Uni Flames","Flames",73,83,-10,"L","199:55","27","70","38","7","27","25","20","43","46","12","14","85","20","14","34","11","17","8","2","8","19","16","73","16","10","0","18","32"
"2015",137293,"Adelaide Lightning","Lightning","home","Dandenong Rangers","Rangers",63,79,-16,"L","199:56","22","67","32","6","21","28","16","46","34","13","20","65","17","14","31","15","16","10","0","5","20","14","63","14","8","2","13","22"
"2015",137293,"Dandenong Rangers","Rangers","away","Adelaide Lightning","Lightning",79,63,16,"W","199:56","28","55","50","3","9","33","25","46","54","20","25","80","24","7","31","18","17","7","5","0","14","20","79","18","6","2","16","26"
"2015",137294,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",64,61,3,"W","199:58","22","67","32","3","8","37","19","59","32","17","20","85","27","14","41","7","13","5","4","6","18","22","64","10","2","6","16","22"
"2015",137294,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",61,64,-3,"L","199:55","23","71","32","5","21","23","18","50","36","10","15","66","24","14","38","9","11","4","6","4","22","18","61","11","11","4","25","30"
"2015",137295,"Bendigo Spirit","Spirit","home","Melbourne Boomers","Boomers",81,74,7,"W","199:56","28","62","45","5","18","27","23","44","52","20","28","71","20","13","33","19","9","10","3","1","17","22","81","6","4","0","3","42"
"2015",137295,"Melbourne Boomers","Boomers","away","Bendigo Spirit","Spirit",74,81,-7,"L","199:56","27","57","47","11","21","52","16","36","44","9","20","45","22","7","29","14","12","1","1","3","22","17","74","10","8","4","12","24"
"2015",137296,"Townsville Fire","Fire","home","SEQ Stars","Stars",80,90,-10,"L","199:57","31","73","42","8","21","38","23","52","44","10","15","66","28","9","37","19","16","2","4","4","16","13","80","10","9","0","8","40"
"2015",137296,"SEQ Stars","Stars","away","Townsville Fire","Fire",90,80,10,"W","199:58","28","68","41","10","21","47","18","47","38","24","26","92","29","9","38","16","13","3","4","4","13","16","90","18","12","2","2","20"
"2015",137298,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",81,66,15,"W","199:55","30","68","44","5","16","31","25","52","48","16","20","80","31","15","46","19","14","4","2","1","14","16","81","8","11","6","5","48"
"2015",137298,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",66,81,-15,"L","199:56","28","72","38","5","21","23","23","51","45","5","6","83","19","8","27","14","8","3","1","2","16","14","66","13","7","0","17","36"
"2015",137299,"Dandenong Rangers","Rangers","home","Adelaide Lightning","Lightning",63,77,-14,"L","199:56","25","60","41","5","14","35","20","46","43","8","10","80","22","4","26","14","15","6","2","4","22","15","63","11","4","2","10","22"
"2015",137299,"Adelaide Lightning","Lightning","away","Dandenong Rangers","Rangers",77,63,14,"W","199:56","26","73","35","4","15","26","22","58","37","21","26","80","25","22","47","15","12","6","4","2","15","22","77","14","11","4","11","32"
"2015",137300,"SEQ Stars","Stars","home","UC Capitals","Capitals",115,75,40,"W","199:55","44","77","57","15","29","51","29","48","60","12","17","70","28","16","44","16","14","9","0","0","25","18","115","23","20","0","14","42"
"2015",137300,"UC Capitals","Capitals","away","SEQ Stars","Stars",75,115,-40,"L","199:56","25","58","43","4","14","28","21","44","47","21","26","80","17","1","18","9","17","3","0","0","18","25","75","9","2","2","32","26"
"2015",137301,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",76,67,9,"W","199:56","28","65","43","7","22","31","21","43","48","13","19","68","24","7","31","19","6","2","2","5","16","19","76","14","8","0","11","30"
"2015",137301,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",67,76,-9,"L","199:57","22","67","32","11","26","42","11","41","26","12","16","75","21","18","39","13","15","0","5","2","19","16","67","9","6","0","13","14"
"2015",137302,"Townsville Fire","Fire","home","UC Capitals","Capitals",97,83,14,"W","199:54","39","74","52","5","15","33","34","59","57","14","22","63","30","10","40","26","11","7","4","8","9","17","97","12","8","0","25","48"
"2015",137302,"UC Capitals","Capitals","away","Townsville Fire","Fire",83,97,-14,"L","199:56","33","73","45","11","27","40","22","46","47","6","6","100","19","7","26","18","15","1","8","4","17","9","83","8","6","0","17","36"
"2015",137303,"Melbourne Boomers","Boomers","home","Dandenong Rangers","Rangers",67,72,-5,"L","199:55","26","60","43","6","15","40","20","45","44","9","11","81","21","6","27","14","15","7","3","2","16","16","67","14","4","0","13","28"
"2015",137303,"Dandenong Rangers","Rangers","away","Melbourne Boomers","Boomers",72,67,5,"W","199:57","30","68","44","5","15","33","25","53","47","7","11","63","24","13","37","16","16","7","2","3","16","16","72","14","6","4","12","38"
"2015",137304,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",89,80,9,"W","199:57","35","67","52","4","14","28","31","53","58","15","22","68","30","10","40","11","12","7","1","3","11","20","89","12","14","0","15","50"
"2015",137304,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",80,89,-9,"L","199:56","32","74","43","8","20","40","24","54","44","8","11","72","24","9","33","18","15","4","3","1","21","10","80","13","4","0","22","32"
"2015",137305,"Adelaide Lightning","Lightning","home","Melbourne Boomers","Boomers",70,47,23,"W","199:54","24","76","31","5","21","23","19","55","34","17","22","77","21","20","41","18","15","18","2","0","15","19","70","22","11","0","10","30"
"2015",137305,"Melbourne Boomers","Boomers","away","Adelaide Lightning","Lightning",47,70,-23,"L","199:56","19","57","33","4","18","22","15","39","38","5","10","50","25","12","37","9","28","4","0","2","19","15","47","14","6","0","8","22"
"2015",137306,"Dandenong Rangers","Rangers","home","Bendigo Spirit","Spirit",82,74,8,"W","199:57","30","60","50","1","4","25","29","56","51","21","22","95","28","7","35","13","10","2","6","1","13","17","82","6","6","0","16","34"
"2015",137306,"Bendigo Spirit","Spirit","away","Dandenong Rangers","Rangers",74,82,-8,"L","199:57","30","81","37","9","31","29","21","50","42","5","7","71","18","11","29","14","8","5","1","6","17","13","74","3","12","2","4","32"
"2015",137307,"Perth Lynx","Lynx","home","Melbourne Boomers","Boomers",80,59,21,"W","199:54","35","77","45","10","25","40","25","52","48","0","1","0","18","18","36","23","8","8","3","2","13","12","80","26","22","0","11","36"
"2015",137307,"Melbourne Boomers","Boomers","away","Perth Lynx","Lynx",59,80,-21,"L","199:56","22","54","40","9","24","37","13","30","43","6","7","85","20","9","29","11","20","3","2","3","12","13","59","5","8","0","17","24"
"2015",137308,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",82,85,-3,"L","199:57","29","69","42","11","22","50","18","47","38","13","13","100","23","5","28","13","12","8","2","1","16","20","82","7","5","0","9","28"
"2015",137308,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",85,82,3,"W","199:56","34","72","47","7","16","43","27","56","48","10","16","62","30","11","41","21","15","5","1","2","20","16","85","8","13","2","14","44"
"2015",137309,"SEQ Stars","Stars","home","Sydney Uni Flames","Flames",92,73,19,"W","199:56","33","75","44","8","23","34","25","52","48","18","21","85","29","12","41","11","10","4","6","5","22","19","92","11","10","4","17","28"
"2015",137309,"Sydney Uni Flames","Flames","away","SEQ Stars","Stars",73,92,-19,"L","199:56","23","65","35","4","14","28","19","51","37","23","27","85","25","11","36","11","11","0","5","6","19","21","73","2","6","0","21","26"
"2015",137310,"Adelaide Lightning","Lightning","home","SEQ Stars","Stars",81,89,-8,"L","199:56","31","78","39","3","22","13","28","56","50","16","22","72","32","12","44","11","10","3","4","2","24","20","81","2","11","0","9","30"
"2015",137310,"SEQ Stars","Stars","away","Adelaide Lightning","Lightning",89,81,8,"W","199:55","29","74","39","7","20","35","22","54","40","24","28","85","37","11","48","15","8","4","2","4","20","24","89","3","11","0","9","28"
"2015",137311,"Perth Lynx","Lynx","home","SEQ Stars","Stars",71,87,-16,"L","199:57","27","72","37","12","36","33","15","36","41","5","6","83","22","12","34","15","21","3","0","1","22","10","71","6","9","0","0","26"
"2015",137311,"SEQ Stars","Stars","away","Perth Lynx","Lynx",87,71,16,"W","199:56","30","73","41","5","24","20","25","49","51","22","29","75","27","14","41","14","10","11","1","0","12","22","87","15","8","0","16","40"
"2015",137312,"Sydney Uni Flames","Flames","home","Dandenong Rangers","Rangers",73,77,-4,"L","199:55","27","70","38","7","18","38","20","52","38","12","15","80","20","6","26","14","14","8","4","5","15","13","73","16","0","0","12","28"
"2015",137312,"Dandenong Rangers","Rangers","away","Sydney Uni Flames","Flames",77,73,4,"W","199:56","31","67","46","4","10","40","27","57","47","11","13","84","33","10","43","19","18","2","5","4","13","15","77","14","8","0","17","38"
"2015",137313,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire",60,84,-24,"L","199:53","25","68","36","7","21","33","18","47","38","3","4","75","18","10","28","12","15","2","1","2","19","15","60","14","9","2","12","24"
"2015",137313,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers",84,60,24,"W","199:54","31","67","46","6","14","42","25","53","47","16","20","80","26","13","39","16","12","6","2","1","15","19","84","20","9","2","28","44"
"2015",137314,"Bendigo Spirit","Spirit","home","Townsville Fire","Fire",63,75,-12,"L","199:57","26","75","34","5","21","23","21","54","38","6","8","75","18","20","38","14","16","4","5","5","20","11","63","7","17","0","10","26"
"2015",137314,"Townsville Fire","Fire","away","Bendigo Spirit","Spirit",75,63,12,"W","199:57","27","66","40","7","18","38","20","48","41","14","17","82","24","12","36","16","14","6","5","5","11","19","75","6","11","0","17","28"
"2015",137315,"UC Capitals","Capitals","home","Dandenong Rangers","Rangers",69,73,-4,"L","199:55","29","63","46","5","21","23","24","42","57","6","10","60","28","6","34","17","18","8","10","2","12","12","69","4","2","2","15","44"
"2015",137315,"Dandenong Rangers","Rangers","away","UC Capitals","Capitals",73,69,4,"W","199:55","29","81","35","6","11","54","23","70","32","9","11","81","25","13","38","11","10","10","2","10","12","12","73","20","14","2","6","28"
"2015",137316,"Townsville Fire","Fire","home","Dandenong Rangers","Rangers",89,49,40,"W","199:54","31","65","47","10","25","40","21","40","52","17","23","73","34","15","49","18","16","3","5","3","16","20","89","17","11","2","15","40"
"2015",137316,"Dandenong Rangers","Rangers","away","Townsville Fire","Fire",49,89,-40,"L","199:55","20","74","27","3","19","15","17","55","30","6","8","75","21","14","35","9","17","5","3","5","20","16","49","8","10","0","7","22"
"2015",137317,"UC Capitals","Capitals","home","Perth Lynx","Lynx",80,77,3,"W","199:57","30","59","50","6","16","37","24","43","55","14","18","77","28","8","36","19","23","7","4","0","14","17","80","11","9","0","0","40"
"2015",137317,"Perth Lynx","Lynx","away","UC Capitals","Capitals",77,80,-3,"L","199:55","29","74","39","12","33","36","17","41","41","7","10","70","16","15","31","15","16","15","0","4","17","14","77","22","11","2","10","28"
"2015",137318,"Sydney Uni Flames","Flames","home","Perth Lynx","Lynx",85,88,-3,"L","199:55","32","68","47","7","18","38","25","50","50","14","14","100","18","9","27","20","16","7","1","2","11","14","85","12","8","0","26","44"
"2015",137318,"Perth Lynx","Lynx","away","Sydney Uni Flames","Flames",88,85,3,"W","199:56","35","71","49","11","26","42","24","45","53","7","10","70","19","13","32","17","14","4","2","1","14","11","88","20","13","0","15","40"
"2015",137319,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",62,88,-26,"L","199:55","25","69","36","8","16","50","17","53","32","4","6","66","18","13","31","13","24","5","3","7","18","12","62","6","18","0","17","22"
"2015",137319,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",88,62,26,"W","199:56","35","71","49","2","11","18","33","60","55","16","20","80","23","12","35","17","13","12","7","3","12","18","88","31","11","4","10","48"
"2015",137320,"Bendigo Spirit","Spirit","home","Adelaide Lightning","Lightning",78,92,-14,"L","199:56","28","62","45","5","18","27","23","44","52","17","21","80","18","6","24","13","16","6","1","3","19","19","78","14","7","4","9","38"
"2015",137320,"Adelaide Lightning","Lightning","away","Bendigo Spirit","Spirit",92,78,14,"W","199:56","37","67","55","6","14","42","31","53","58","12","16","75","24","8","32","14","11","2","3","1","19","19","92","17","9","0","18","40"
"2015",137321,"SEQ Stars","Stars","home","UC Capitals","Capitals",81,76,5,"W","199:56","31","77","40","6","17","35","25","60","41","13","19","68","24","15","39","18","12","9","3","7","10","16","81","12","16","0","18","42"
"2015",137321,"UC Capitals","Capitals","away","SEQ Stars","Stars",76,81,-5,"L","199:56","31","73","42","7","22","31","24","51","47","7","10","70","31","11","42","16","17","6","7","3","16","9","76","16","7","2","9","34"
"2015",137322,"Perth Lynx","Lynx","home","Townsville Fire","Fire",82,69,13,"W","199:53","35","83","42","8","26","30","27","57","47","4","8","50","22","12","34","16","6","11","1","3","26","11","82","20","13","2","17","36"
"2015",137322,"Townsville Fire","Fire","away","Perth Lynx","Lynx",69,82,-13,"L","199:54","24","56","42","2","17","11","22","39","56","19","28","67","33","6","39","12","21","2","3","1","11","26","69","6","6","2","11","40"
"2015",137323,"Sydney Uni Flames","Flames","home","Bendigo Spirit","Spirit",90,83,7,"W","199:56","32","65","49","8","17","47","24","48","50","18","18","100","21","11","32","19","19","7","5","4","15","21","90","18","16","0","22","40"
"2015",137323,"Bendigo Spirit","Spirit","away","Sydney Uni Flames","Flames",83,90,-7,"L","199:57","35","79","44","6","18","33","29","61","47","7","11","63","20","16","36","8","18","10","4","5","21","15","83","26","19","0","8","54"
"2015",137324,"Dandenong Rangers","Rangers","home","SEQ Stars","Stars",64,88,-24,"L","199:53","22","62","35","3","16","18","19","46","41","17","28","60","23","8","31","9","14","2","3","4","23","22","64","8","4","5","20","26"
"2015",137324,"SEQ Stars","Stars","away","Dandenong Rangers","Rangers",88,64,24,"W","199:56","32","71","45","12","27","44","20","44","45","12","22","54","31","14","45","19","16","7","4","3","22","23","88","17","14","7","16","24"
"2015",137325,"UC Capitals","Capitals","home","Bendigo Spirit","Spirit",78,71,7,"W","199:57","30","70","42","6","18","33","24","52","46","12","15","80","27","13","40","19","12","9","8","2","12","14","78","13","13","2","20","34"
"2015",137325,"Bendigo Spirit","Spirit","away","UC Capitals","Capitals",71,78,-7,"L","200:00","26","71","36","9","22","40","17","49","34","10","13","76","24","15","39","11","16","8","2","8","14","12","71","13","8","2","5","26"
"2015",137326,"Adelaide Lightning","Lightning","home","Townsville Fire","Fire",57,64,-7,"L","199:56","23","77","29","6","26","23","17","51","33","5","8","62","27","16","43","19","13","8","4","4","22","11","57","9","10","0","5","22"
"2015",137326,"Townsville Fire","Fire","away","Adelaide Lightning","Lightning",64,57,7,"W","199:56","20","61","32","5","17","29","15","44","34","19","28","67","29","13","42","13","16","6","4","4","12","22","64","5","6","0","20","22"
"2015",137327,"Melbourne Boomers","Boomers","home","SEQ Stars","Stars",81,67,14,"W","199:56","28","60","46","15","25","60","13","35","37","10","11","90","29","10","39","18","17","1","3","0","18","12","81","12","8","2","12","20"
"2015",137327,"SEQ Stars","Stars","away","Melbourne Boomers","Boomers",67,81,-14,"L","199:56","28","78","35","3","16","18","25","62","40","8","12","66","19","17","36","11","11","3","0","3","13","17","67","12","2","0","28","38"
"2015",270583,"Dandenong Rangers","Rangers","home","SEQ Stars","Stars",82,86,-4,"L","199:56","32","75","42","5","15","33","27","60","45","13","20","65","21","8","29","14","13","7","1","4","28","16","82","17","4","0","14","40"
"2015",270583,"SEQ Stars","Stars","away","Dandenong Rangers","Rangers",86,82,4,"W","199:56","27","58","46","7","18","38","20","40","50","25","33","75","32","9","41","14","23","3","4","1","16","28","86","12","8","2","21","34"
"2015",270584,"Townsville Fire","Fire","home","Perth Lynx","Lynx",72,91,-19,"L","199:56","27","61","44","6","15","40","21","46","45","12","15","80","29","5","34","14","13","3","3","1","17","15","72","5","6","4","13","36"
"2015",270584,"Perth Lynx","Lynx","away","Townsville Fire","Fire",91,72,19,"W","199:54","32","78","41","14","34","41","18","44","40","13","14","92","26","16","42","13","7","6","1","3","15","17","91","16","9","2","11","20"
"2015",270585,"Townsville Fire","Fire","home","SEQ Stars","Stars",91,71,20,"W","199:54","34","83","40","11","31","35","23","52","44","12","15","80","31","15","46","20","14","5","5","4","17","16","91","20","17","2","12","44"
"2015",270585,"SEQ Stars","Stars","away","Townsville Fire","Fire",71,91,-20,"L","199:55","27","69","39","8","25","32","19","44","43","9","14","64","26","9","35","18","18","7","4","5","16","17","71","17","4","2","12","28"
"2015",270586,"Perth Lynx","Lynx","home","Townsville Fire","Fire",57,73,-16,"L","191:39","19","67","28","8","28","28","11","39","28","11","14","78","25","8","33","8","12","6","5","1","21","14","57","5","9","0","5","14"
"2015",270586,"Townsville Fire","Fire","away","Perth Lynx","Lynx",73,57,16,"W","199:54","22","60","36","6","16","37","16","44","36","23","30","76","35","10","45","16","16","1","1","5","14","21","73","17","14","2","11","28"
"2015",270587,"Townsville Fire","Fire","home","Perth Lynx","Lynx",80,70,10,"W","199:55","26","60","43","10","15","66","16","45","35","18","23","78","31","6","37","15","18","7","2","4","15","14","80","23","0","0","4","26"
"2015",270587,"Perth Lynx","Lynx","away","Townsville Fire","Fire",70,80,-10,"L","199:58","26","71","36","8","30","26","18","41","43","10","16","62","24","13","37","13","17","6","4","2","14","15","70","28","16","0","7","34"
