"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2014",64557,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",66,78,-12,"L","199:56","27","65","41.5","2","12","16.7","10","12","83.3","20","10","30","11","15","6","4","4","20","16","66","8","6","0","9","40"
"2014",64557,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",78,66,12,"W","199:56","28","71","39.4","4","12","33.3","18","21","85.7","25","15","40","15","10","8","4","4","16","20","78","19","12","0","12","28"
"2014",64558,"Adelaide Lightning","Lightning","home","UC Capitals","Capitals",70,73,-3,"L","199:54","25","62","40.3","7","19","36.8","13","15","86.7","22","8","30","17","14","6","1","0","24","18","70","13","8","0","27","30"
"2014",64558,"UC Capitals","Capitals","away","Adelaide Lightning","Lightning",73,70,3,"W","199:55","23","59","39","5","15","33.3","22","29","75.9","25","13","38","12","19","5","0","1","19","24","73","6","11","0","18","24"
"2014",64559,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",60,67,-7,"L","199:53","25","62","40.3","2","9","22.2","8","13","61.5","37","6","43","11","17","4","6","1","20","14","60","9","2","2","9","36"
"2014",64559,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",67,60,7,"W","199:56","23","67","34.3","6","19","31.6","15","21","71.4","26","4","30","14","9","5","1","6","14","20","67","13","4","0","21","28"
"2014",64560,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",91,72,19,"W","199:53","37","77","48.1","9","17","52.9","8","9","88.9","25","17","42","15","15","3","5","4","13","10","91","15","18","4","7","30"
"2014",64560,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",72,91,-19,"L","199:56","30","65","46.2","2","10","20","10","14","71.4","18","7","25","17","14","2","4","5","10","13","72","13","2","0","26","32"
"2014",64561,"West Coast Waves","Waves","home","UC Capitals","Capitals",70,83,-13,"L","199:57","30","70","42.9","4","17","23.5","6","6","100","20","12","32","9","17","11","4","5","17","15","70","22","14","0","26","38"
"2014",64561,"UC Capitals","Capitals","away","West Coast Waves","Waves",83,70,13,"W","179:55","31","69","44.9","11","24","45.8","10","14","71.4","23","12","35","25","14","8","5","4","15","17","83","23","10","0","21","26"
"2014",64562,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",88,75,13,"W","199:54","31","68","45.6","3","10","30","23","30","76.7","23","14","37","17","13","5","6","0","14","22","88","21","10","0","11","48"
"2014",64562,"Melbourne Boomers","Boomers","away","Townsville Fire","Fire",75,88,-13,"L","199:54","31","65","47.7","6","14","42.9","7","8","87.5","23","6","29","7","19","0","0","6","22","13","75","4","8","0","19","42"
"2014",64563,"Townsville Fire","Fire","home","UC Capitals","Capitals",106,58,48,"W","199:56","44","81","54.3","10","18","55.6","8","11","72.7","28","12","40","25","11","10","3","1","18","10","106","28","16","0","44","56"
"2014",64563,"UC Capitals","Capitals","away","Townsville Fire","Fire",58,106,-48,"L","199:55","18","61","29.5","4","15","26.7","18","20","90","24","10","34","10","22","3","1","3","10","18","58","6","7","0","22","22"
"2014",64564,"Bendigo Spirit","Spirit","home","West Coast Waves","Waves",83,70,13,"W","199:55","33","72","45.8","5","16","31.3","12","18","66.7","31","9","40","15","12","13","2","2","13","21","83","17","2","4","7","46"
"2014",64564,"West Coast Waves","Waves","away","Bendigo Spirit","Spirit",70,83,-13,"L","199:57","28","67","41.8","8","24","33.3","6","8","75","28","9","37","13","20","5","1","2","21","13","70","9","6","0","29","26"
"2014",64565,"Sydney Uni Flames","Flames","home","Dandenong Rangers","Rangers",78,93,-15,"L","199:56","32","66","48.5","2","12","16.7","12","20","60","26","6","32","19","14","5","4","6","15","18","78","12","8","0","16","38"
"2014",64565,"Dandenong Rangers","Rangers","away","Sydney Uni Flames","Flames",93,78,15,"W","199:54","35","74","47.3","9","19","47.4","14","16","87.5","28","11","39","15","10","3","6","4","18","15","93","14","4","0","9","26"
"2014",64566,"Adelaide Lightning","Lightning","home","West Coast Waves","Waves",78,61,17,"W","199:55","29","68","42.6","8","20","40","12","16","75","35","15","50","21","19","4","1","1","17","17","78","18","4","0","25","38"
"2014",64566,"West Coast Waves","Waves","away","Adelaide Lightning","Lightning",61,78,-17,"L","199:56","20","70","28.6","6","27","22.2","15","18","83.3","21","10","31","10","13","8","1","1","17","17","61","4","4","0","11","22"
"2014",64567,"UC Capitals","Capitals","home","Dandenong Rangers","Rangers",84,89,-5,"L","199:55","28","67","41.8","8","25","32","20","22","90.9","19","12","31","22","14","6","2","4","19","21","84","17","6","4","10","30"
"2014",64567,"Dandenong Rangers","Rangers","away","UC Capitals","Capitals",89,84,5,"W","199:56","34","61","55.7","3","11","27.3","18","23","78.3","21","9","30","10","13","7","4","2","22","19","89","17","12","0","8","36"
"2014",64568,"UC Capitals","Capitals","home","West Coast Waves","Waves",87,52,35,"W","199:55","34","70","48.6","7","21","33.3","12","18","66.7","38","10","48","18","14","7","3","3","21","21","87","9","10","2","33","44"
"2014",64568,"West Coast Waves","Waves","away","UC Capitals","Capitals",52,87,-35,"L","199:57","17","63","27","5","19","26.3","13","16","81.3","24","5","29","5","18","8","3","2","21","20","52","10","6","0","16","18"
