"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2014",64592,"West Coast Waves","Waves","home","Sydney Uni Flames","Flames",85,93,-8,"L","199:55","33","69","47.8","8","17","47.1","11","16","157.1","22","8","30","22","11","1","5","6","28","17","85","10","7","0","46","50"
"2014",64592,"Sydney Uni Flames","Flames","away","West Coast Waves","Waves",93,85,8,"W","199:55","30","63","47.6","8","15","53.3","25","31","80.6","24","12","36","16","12","6","6","5","17","28","93","13","9","2","21","32"
"2014",64593,"Bendigo Spirit","Spirit","home","Melbourne Boomers","Boomers",89,84,5,"W","209:56","33","81","40.7","4","14","28.6","19","23","82.6","25","12","37","17","12","11","2","5","22","22","89","22","9","4","10","48"
"2014",64593,"Melbourne Boomers","Boomers","away","Bendigo Spirit","Spirit",84,89,-5,"L","224:56","30","65","46.2","8","19","42.1","16","23","69.6","34","10","44","17","23","7","5","2","22","22","84","6","12","2","37","34"
"2014",64594,"UC Capitals","Capitals","home","Bendigo Spirit","Spirit",85,75,10,"W","199:54","26","56","46.4","7","14","50","26","33","78.8","24","10","34","17","11","5","3","6","16","24","85","11","7","2","14","22"
"2014",64594,"Bendigo Spirit","Spirit","away","UC Capitals","Capitals",75,85,-10,"L","199:55","29","60","48.3","6","17","35.3","11","14","78.6","20","2","22","16","11","3","6","3","24","16","75","15","5","2","12","36"
"2014",64595,"Adelaide Lightning","Lightning","home","Dandenong Rangers","Rangers",89,71,18,"W","199:56","33","69","47.8","6","21","28.6","17","23","73.9","22","13","35","25","14","9","3","1","16","20","89","17","12","2","17","46"
"2014",64595,"Dandenong Rangers","Rangers","away","Adelaide Lightning","Lightning",71,89,-18,"L","199:54","31","73","42.5","1","12","8.3","8","13","61.5","21","18","39","9","16","5","1","3","22","16","71","8","14","0","14","40"
"2014",64596,"West Coast Waves","Waves","home","Melbourne Boomers","Boomers",61,64,-3,"L","199:56","24","62","38.7","1","11","9.1","12","14","85.7","17","11","28","12","18","7","6","2","14","19","61","12","11","6","26","36"
"2014",64596,"Melbourne Boomers","Boomers","away","West Coast Waves","Waves",64,61,3,"W","199:54","26","60","43.3","6","18","33.3","6","8","75","23","11","34","15","19","7","2","6","20","14","64","19","6","0","16","24"
"2014",64597,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",82,80,2,"W","199:56","33","68","48.5","10","20","50","6","8","75","25","9","34","23","17","11","4","9","19","13","82","15","9","0","22","28"
"2014",64597,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",80,82,-2,"L","199:56","29","70","41.4","9","20","45","13","14","92.9","22","13","35","15","18","7","9","4","13","18","80","11","8","0","18","26"
"2014",64598,"Dandenong Rangers","Rangers","home","Townsville Fire","Fire",77,80,-3,"L","224:57","34","84","40.5","2","18","11.1","7","8","87.5","37","11","48","16","13","3","8","4","21","11","77","8","8","6","10","34"
"2014",64598,"Townsville Fire","Fire","away","Dandenong Rangers","Rangers",80,77,3,"W","224:56","28","86","32.6","4","22","18.2","20","22","90.9","37","18","55","14","14","6","4","8","11","21","80","11","10","4","6","38"
"2014",90375,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",82,63,19,"W","199:53","33","80","41.3","8","24","33.3","8","12","66.7","29","20","49","20","10","4","3","2","11","14","82","12","13","2","15","38"
"2014",90375,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",63,82,-19,"L","199:56","21","66","31.8","7","21","33.3","14","17","82.4","26","11","37","9","15","4","1","4","16","11","63","13","9","0","9","20"
"2014",90374,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",80,89,-9,"L","199:54","29","65","44.6","5","13","38.5","17","20","85","21","7","28","10","13","4","2","2","22","15","80","9","7","2","18","32"
"2014",90374,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",89,80,9,"W","199:55","31","66","47","6","15","40","21","24","87.5","24","12","36","12","10","6","2","2","15","22","89","8","14","2","21","42"
"2014",90376,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",85,77,8,"W","199:55","31","75","41.3","8","20","40","15","19","78.9","25","14","39","18","12","4","5","6","19","22","85","11","11","0","8","40"
"2014",90376,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",77,85,-8,"L","199:56","32","76","42.1","1","11","9.1","12","17","70.6","24","12","36","11","12","4","6","5","22","19","77","12","11","2","26","48"
"2014",90377,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",75,65,10,"W","199:56","27","69","39.1","5","13","38.5","16","27","59.3","23","9","32","17","7","5","9","4","14","21","75","10","2","0","6","28"
"2014",90377,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",65,75,-10,"L","199:56","25","72","34.7","8","23","34.8","7","11","63.6","35","16","51","11","17","2","4","9","21","13","65","6","10","0","11","24"
