"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","s_points_from_turnovers","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2014",64526,"Sydney Uni Flames","Flames","home","Katie-Rae","Ebzery","K",,"K. Ebzery","","1","32:15","26","0","2","0","8","9","14","64","2","3","66","7","11","63","6","7","85","6","1","7","0","3","1","0","0","3","4"
"2014",64526,"Sydney Uni Flames","Flames","home","Nicole","How","N",,"N. How","","0","01:06","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64526,"Sydney Uni Flames","Flames","home","Casey","Samuels","C",,"C. Samuels","","0","12:47","2","0","0","0","0","1","3","33","0","0","0","1","3","33","0","0","0","0","0","0","2","0","0","1","0","3","1"
"2014",64526,"Sydney Uni Flames","Flames","home","Kate","Seebohm","K",,"K. Seebohm","","0","00:48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64526,"Sydney Uni Flames","Flames","home","Rohanee","Cox","R",,"R. Cox","","1","26:17","9","0","4","0","4","4","12","33","0","2","0","4","10","40","1","4","25","10","3","13","3","1","1","0","0","3","3"
"2014",64526,"Sydney Uni Flames","Flames","home","Paris","Johnson","P",,"P. Johnson","","0","17:07","11","0","6","0","10","5","9","55","0","0","0","5","9","55","1","1","100","3","4","7","0","1","0","0","0","3","1"
"2014",64526,"Sydney Uni Flames","Flames","home","Mikaela","Ruef","M",,"M. Ruef","","1","20:52","5","0","0","0","0","2","7","28","0","0","0","2","7","28","1","2","50","3","0","3","2","2","1","0","0","4","2"
"2014",64526,"UC Capitals","Capitals","away","Kristen","Veal","K",,"K. Veal","","1","24:11","6","0","0","0","0","2","4","50","2","4","50","0","0","0","0","0","0","4","0","4","1","1","0","0","0","1","3"
"2014",64526,"UC Capitals","Capitals","away","Sarah","McAppion","S",,"S. McAppion","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64526,"UC Capitals","Capitals","away","Alice","Coddington","A",,"A. Coddington","","1","22:47","10","0","0","0","2","4","6","66","2","2","100","2","4","50","0","0","0","1","0","1","2","1","0","0","1","2","0"
"2014",64526,"UC Capitals","Capitals","away","Stephanie","Talbot","S",,"S. Talbot","","1","33:56","9","0","0","0","6","4","17","23","0","2","0","4","15","26","1","2","50","2","1","3","5","2","0","0","1","4","3"
"2014",64526,"UC Capitals","Capitals","away","Carly","Wilson","C",,"C. Wilson","","1","36:39","0","0","0","0","0","0","3","0","0","1","0","0","2","0","0","0","0","4","3","7","1","0","0","0","0","2","0"
"2014",64526,"UC Capitals","Capitals","away","Abby","Bishop","A",,"A. Bishop","","1","36:23","29","4","8","0","14","11","24","45","2","5","40","9","19","47","5","9","55","8","6","14","4","3","1","0","0","4","8"
"2014",64526,"UC Capitals","Capitals","away","Jessica","Bibby","J",,"J. Bibby","","0","21:15","3","0","0","0","0","1","10","10","1","6","16","0","4","0","0","0","0","0","0","0","1","1","0","0","1","1","1"
"2014",64526,"UC Capitals","Capitals","away","Ellie","Junod","E",,"E. Junod","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64526,"UC Capitals","Capitals","away","Abigail","Wehrung","A",,"A. Wehrung","","0","05:52","2","0","0","0","0","1","1","100","0","0","0","1","1","100","0","0","0","0","0","0","0","1","0","0","0","0","1"
"2014",64526,"UC Capitals","Capitals","away","Samantha","Norwood","S",,"S. Norwood","","0","06:57","1","0","0","0","0","0","2","0","0","0","0","0","2","0","1","2","50","1","1","2","0","1","0","0","0","2","2"
"2014",64526,"UC Capitals","Capitals","away","Michelle","Cosier","M",,"M. Cosier","","0","11:56","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","3","4","0","2","0","0","0","1","2"
"2014",64527,"West Coast Waves","Waves","home","Lindsey","Moore","L",,"L. Moore","","1","31:37","15","3","0","0","2","5","9","55","4","7","57","1","2","50","1","2","50","5","0","5","6","3","2","0","0","2","2"
"2014",64527,"West Coast Waves","Waves","home","Jessie","Edwards","J",,"J. Edwards","","0","00:20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64527,"West Coast Waves","Waves","home","Louella","Tomlinson","L",,"L. Tomlinson","","1","33:09","14","2","0","0","10","7","14","50","0","1","0","7","13","53","0","2","0","4","1","5","1","1","0","5","1","1","2"
"2014",64527,"West Coast Waves","Waves","home","Kate","Fielding","K",,"K. Fielding","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64527,"West Coast Waves","Waves","home","Antonia","Edmondson","A",,"A. Edmondson","","1","24:44","2","0","0","0","2","1","6","16","0","3","0","1","3","33","0","0","0","0","0","0","1","0","1","1","0","4","2"
"2014",64527,"West Coast Waves","Waves","home","Mikayla","Pirini","M",,"M. Pirini","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64527,"West Coast Waves","Waves","home","Cassie","Harberts","C",,"C. Harberts","","1","20:53","4","0","0","0","2","2","9","22","0","1","0","2","8","25","0","0","0","5","1","6","1","2","0","0","3","5","3"
"2014",64527,"West Coast Waves","Waves","home","Darcee","Garbin","D",,"D. Garbin","","0","25:36","8","3","0","0","2","2","5","40","1","2","50","1","3","33","3","4","75","3","2","5","7","1","1","2","1","1","2"
"2014",64527,"West Coast Waves","Waves","home","Ebony","Antonio","E",,"E. Antonio","","0","00:01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64527,"West Coast Waves","Waves","home","Sarah","Graham","S",,"S. Graham","","1","24:17","11","2","0","0","0","4","7","57","3","6","50","1","1","100","0","0","0","1","0","1","0","2","1","0","0","3","3"
"2014",64527,"West Coast Waves","Waves","home","Shani","Amos","S",,"S. Amos","","0","13:19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","50","0","1","1","1","1","0","0","0","2","2"
"2014",64527,"West Coast Waves","Waves","home","Deanna","Smith","D",,"D. Smith","","0","25:58","17","5","2","0","8","6","9","66","2","3","66","4","6","66","3","3","100","2","0","2","1","3","0","0","0","3","1"
"2014",64527,"Bendigo Spirit","Spirit","away","Tessa","Lavey","T",,"T. Lavey","","1","09:20","2","0","0","0","0","1","2","50","0","1","0","1","1","100","0","0","0","3","0","3","2","2","0","0","0","1","0"
"2014",64527,"Bendigo Spirit","Spirit","away","Heather","Oliver","H",,"H. Oliver","","0","05:26","7","0","0","2","6","3","3","100","0","0","0","3","3","100","1","1","100","1","0","1","1","2","0","0","0","0","1"
"2014",64527,"Bendigo Spirit","Spirit","away","Madeleine","Garrick","M",,"M. Garrick","","0","05:55","2","0","0","0","0","1","3","33","0","2","0","1","1","100","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2014",64527,"Bendigo Spirit","Spirit","away","Kristi","Harrower","K",,"K. Harrower","","0","22:12","3","3","3","0","0","1","2","50","1","1","100","0","1","0","0","0","0","3","1","4","5","2","1","0","1","1","0"
"2014",64527,"Bendigo Spirit","Spirit","away","Tayla","Roberts","T",,"T. Roberts","","0","00:21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64527,"Bendigo Spirit","Spirit","away","Belinda","Snell","B",,"B. Snell","","1","32:38","4","2","0","0","4","2","13","15","0","6","0","2","7","28","0","0","0","3","1","4","4","1","0","1","1","2","5"
"2014",64527,"Bendigo Spirit","Spirit","away","Chelsea","Aubry","C",,"C. Aubry","","0","24:30","3","0","3","0","0","1","7","14","1","4","25","0","3","0","0","0","0","1","1","2","2","0","0","0","1","1","0"
"2014",64527,"Bendigo Spirit","Spirit","away","Sara","Blicavs","S",,"S. Blicavs","","1","23:10","7","0","0","0","4","2","7","28","0","3","0","2","4","50","3","6","50","3","2","5","1","0","0","0","0","3","4"
