"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2020",1777473,"Adelaide Lightning","Lightning","home","UC Capitals","Capitals",85,73,12,"W","225:00","32","71","45","7","22","31","25","49","51","14","20","70","35","11","46","16","19","14","7","3","22","22","22","85","14","9","4","13","36","29.38","13","11","16","8","0","5","1","4","1"
"2020",1777473,"UC Capitals","Capitals","away","Adelaide Lightning","Lightning",73,85,-12,"L","225:00","27","78","34","2","24","8","25","54","46","17","21","80","31","16","47","19","17","9","3","7","22","22","22","73","22","8","6","15","42","10.536666666667","5","10","16","8","0","7","2","5","0"
"2020",1777524,"Perth Lynx","Lynx","home","Townsville Fire","Fire",48,73,-25,"L","200:00","19","70","27","6","25","24","13","45","28","4","13","30","33","17","50","10","16","2","10","3","17","20","17","48","6","16","0","14","24","0.9","1","6","5","0","0","3","1","2","0"
"2020",1777524,"Townsville Fire","Fire","away","Perth Lynx","Lynx",73,48,25,"W","200:00","31","81","38","3","17","17","28","64","43","8","10","80","38","19","57","12","9","2","3","10","20","17","20","73","19","14","2","20","42","38.9","28","15","5","0","0","10","3","7","0"
"2020",1777502,"Melbourne Boomers","Boomers","home","Sydney Uni Flames","Flames",85,70,15,"W","200:00","33","69","47","5","17","29","28","52","53","14","21","66","34","14","48","19","14","6","2","3","22","19","22","85","15","18","7","21","52","31.9","23","11","4","3","0","8","6","2","2"
"2020",1777502,"Sydney Uni Flames","Flames","away","Melbourne Boomers","Boomers",70,85,-15,"L","200:00","20","62","32","7","24","29","13","38","34","23","27","85","26","9","35","14","13","8","3","2","19","22","19","70","15","9","4","26","22","5.8166666666667","6","7","4","3","0","5","3","2","1"
"2020",1777482,"Bendigo Spirit","Spirit","home","Southside Flyers","Flyers",60,102,-42,"L","200:00","23","83","27","4","25","16","19","58","32","10","14","71","28","18","46","13","13","3","1","3","19","19","19","60","9","8","7","22","32","0.33333333333333","2","5","1","1","0","6","2","4","0"
"2020",1777482,"Southside Flyers","Flyers","away","Bendigo Spirit","Spirit",102,60,42,"W","200:00","38","71","53","13","25","52","25","46","54","13","23","56","43","10","53","25","13","7","3","1","19","19","19","102","12","15","13","39","38","38.033333333333","44","14","1","1","0","6","3","3","0"
"2020",1777478,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",63,100,-37,"L","200:00","24","67","35","6","22","27","18","45","40","9","14","64","27","12","39","19","19","3","3","3","22","17","22","63","5","6","6","21","30","0.23333333333333","2","5","1","3","0","5","3","2","2"
"2020",1777478,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",100,63,37,"W","200:00","35","80","43","10","27","37","25","53","47","20","29","68","33","20","53","16","8","10","3","3","17","22","17","100","19","20","10","38","44","38.35","37","16","1","3","0","6","3","3","0"
"2020",1777497,"Melbourne Boomers","Boomers","home","Southside Flyers","Flyers",89,72,17,"W","200:00","30","72","41","16","27","59","14","45","31","13","15","86","27","13","40","24","11","10","4","5","22","17","22","89","24","19","6","22","20","15.133333333333","18","10","3","0","0","7","3","4","1"
"2020",1777497,"Southside Flyers","Flyers","away","Melbourne Boomers","Boomers",72,89,-17,"L","200:00","25","62","40","4","15","26","21","47","44","18","22","81","29","11","40","14","16","6","5","4","17","22","17","72","8","7","9","9","38","24.5","13","10","3","0","0","3","1","2","1"
"2020",1777534,"Southside Flyers","Flyers","home","Sydney Uni Flames","Flames",99,72,27,"W","200:00","34","70","48","12","27","44","22","43","51","19","30","63","28","14","42","28","11","12","5","3","21","26","21","99","22","16","14","25","36","32.95","29","11","8","7","0","10","5","5","0"
"2020",1777534,"Sydney Uni Flames","Flames","away","Southside Flyers","Flyers",72,99,-27,"L","200:00","29","76","38","6","28","21","23","48","47","8","14","57","26","23","49","17","19","4","3","5","26","21","26","72","10","23","2","33","42","3.05","4","8","8","7","0","7","3","4","0"
"2020",1777525,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",69,74,-5,"L","200:00","24","70","34","6","28","21","18","42","42","15","20","75","34","14","48","14","15","3","4","2","23","22","23","69","8","14","2","19","30","26.883333333333","6","6","12","11","0","10","7","3","2"
"2020",1777525,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",74,69,5,"W","200:00","26","83","31","5","35","14","21","48","43","17","20","85","32","24","56","19","11","4","2","4","22","23","22","74","10","21","11","15","30","9.0916666666667","5","7","12","11","0","9","3","6","0"
"2020",1777563,"UC Capitals","Capitals","home","Townsville Fire","Fire",78,67,11,"W","200:00","27","61","44","6","16","37","21","45","46","18","26","69","30","12","42","18","16","5","2","0","26","27","26","78","8","11","13","10","38","24.553333333333","17","9","12","7","0","6","6","0","1"
"2020",1777563,"Townsville Fire","Fire","away","UC Capitals","Capitals",67,78,-11,"L","200:00","22","60","36","5","19","26","17","41","41","18","27","66","26","9","35","9","15","8","0","2","27","26","27","67","13","7","11","25","30","12.463333333333","5","9","12","7","0","5","4","1","2"
"2020",1777565,"UC Capitals","Capitals","home","Bendigo Spirit","Spirit",76,56,20,"W","200:00","26","69","37","5","20","25","21","49","42","19","27","70","34","15","49","20","9","10","5","5","19","22","19","76","6","12","5","26","40","39.416666666667","27","10","1","0","0","9","7","2","0"
"2020",1777565,"Bendigo Spirit","Spirit","away","UC Capitals","Capitals",56,76,-20,"L","200:00","21","67","31","4","21","19","17","46","36","10","14","71","32","13","45","13","16","7","5","5","22","19","22","56","7","6","2","13","30","0.51666666666667","2","6","1","0","0","5","3","2","1"
"2020",1777522,"Perth Lynx","Lynx","home","Melbourne Boomers","Boomers",56,62,-6,"L","207:38","21","61","34","5","26","19","16","35","45","9","11","81","28","15","43","16","21","7","1","7","17","14","17","56","9","14","6","16","30","25.616666666667","13","7","2","5","0","10","5","5","0"
"2020",1777522,"Melbourne Boomers","Boomers","away","Perth Lynx","Lynx",62,56,6,"W","200:10","26","65","40","0","20","0","26","45","57","10","12","83","27","12","39","14","17","13","7","1","14","17","14","62","22","11","4","10","38","11.366666666667","7","10","2","5","0","6","3","3","1"
"2020",1777557,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",81,78,3,"W","200:00","28","61","45","8","25","32","20","36","55","17","21","80","26","10","36","18","15","8","2","5","18","18","18","81","15","7","9","30","34","34.316666666667","11","11","8","5","0","8","3","5","2"
"2020",1777557,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",78,81,-3,"L","200:00","29","71","40","7","21","33","22","50","44","13","19","68","25","18","43","15","15","6","5","2","18","17","18","78","17","11","13","12","40","2.4166666666667","3","7","8","5","0","6","1","5","1"
"2020",1777498,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",50,67,-17,"L","200:00","19","57","33","0","16","0","19","41","46","12","14","85","19","14","33","9","20","7","2","4","16","20","16","50","11","6","2","16","34","0.2","2","6","1","2","0","5","3","2","1"
"2020",1777498,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",67,50,17,"W","200:00","26","57","45","4","14","28","22","43","51","11","14","78","23","13","36","14","17","14","4","2","20","16","20","67","17","12","7","24","40","38.466666666667","21","10","1","2","0","4","2","2","2"
"2020",1777481,"Bendigo Spirit","Spirit","home","Perth Lynx","Lynx",65,78,-13,"L","200:00","26","76","34","10","30","33","16","46","34","3","6","50","27","10","37","14","10","10","1","2","17","8","17","65","14","8","4","19","24","12.748333333333","5","10","7","3","0","4","1","3","0"
"2020",1777481,"Perth Lynx","Lynx","away","Bendigo Spirit","Spirit",78,65,13,"W","200:00","30","67","44","8","25","32","22","42","52","10","14","71","39","11","50","19","16","5","2","1","8","16","8","78","15","9","2","23","38","25.266666666667","27","16","7","3","0","5","2","3","2"
"2020",1777531,"Southside Flyers","Flyers","home","Townsville Fire","Fire",101,89,12,"W","200:00","41","75","54","10","24","41","31","51","60","9","14","64","35","8","43","30","11","5","7","2","21","18","21","101","13","10","7","14","48","28.461666666667","22","6","5","1","0","5","4","1","0"
"2020",1777531,"Townsville Fire","Fire","away","Southside Flyers","Flyers",89,101,-12,"L","200:00","34","76","44","7","25","28","27","51","52","14","19","73","30","9","39","15","9","7","2","7","18","21","18","89","4","17","0","34","50","10.638333333333","7","7","5","1","0","3","1","2","0"
"2020",1777555,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",91,81,10,"W","200:00","37","70","52","7","21","33","30","49","61","10","14","71","33","17","50","20","18","7","1","1","16","17","16","91","11","14","14","28","50","14.933333333333","16","13","3","1","0","7","5","2","1"
"2020",1777555,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",81,91,-10,"L","200:00","30","74","40","7","28","25","23","46","50","14","18","77","19","10","29","23","7","9","1","1","17","16","17","81","24","9","14","15","36","24.216666666667","12","10","3","1","0","2","1","1","0"
"2020",1777529,"Southside Flyers","Flyers","home","Perth Lynx","Lynx",117,71,46,"W","200:00","49","98","50","15","39","38","34","59","57","4","9","44","30","23","53","28","7","17","0","5","17","11","17","117","35","29","15","46","52","26.466666666667","46","10","2","5","0","7","0","7","0"
"2020",1777529,"Perth Lynx","Lynx","away","Southside Flyers","Flyers",71,117,-46,"L","200:00","26","63","41","6","23","26","20","40","50","13","14","92","29","6","35","12","23","4","5","0","11","17","11","71","7","6","4","18","40","9.6833333333333","10","9","2","5","0","2","1","1","0"
"2020",1777547,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals",63,68,-5,"L","200:00","21","61","34","3","12","25","18","49","36","18","19","94","25","13","38","14","20","15","2","3","16","16","16","63","15","13","6","6","26","28.266666666667","13","11","1","1","0","4","2","2","0"
"2020",1777547,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames",68,63,5,"W","200:00","29","68","42","4","13","30","25","55","45","6","10","60","27","14","41","17","19","12","3","2","16","16","16","68","24","10","12","19","46","10.756666666667","6","7","1","1","0","4","2","2","0"
"2020",1777499,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire",75,87,-12,"L","200:00","30","73","41","9","26","34","21","47","44","6","9","66","20","15","35","20","10","6","1","0","19","12","19","75","4","15","7","9","38","0",,"10","0","0","0","3","0","3","1"
