"season","page_id","action_number","previous_action","team_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","scoreboard_name","shirt_number"
"2019",1330477,7,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","1",2,"93.599998474121","23.180000305176","C. George","22"
"2019",1330477,9,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","3pt","jumpshot","1",3,"14.659999847412","5.6700000762939","C. Ernst (nee Mijovic)","18"
"2019",1330477,11,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","layup","1",2,"90.480003356934","58.770000457764","E. Magbegor","13"
"2019",1330477,13,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","3pt","jumpshot","0",0,"29.799999237061","37.590000152588","K. Wilson","22"
"2019",1330477,15,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","0",0,"81.75","92.389999389648","S. Cunningham","3"
"2019",1330477,17,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","layup","0",0,"95.480003356934","59.340000152588","L. Allen","15"
"2019",1330477,25,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","1",2,"7.0199999809265","42.669998168945","G. Richards","20"
"2019",1330477,27,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","0",0,"69.580001831055","70.069999694824","C. George","22"
"2019",1330477,29,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","1",3,"72.540000915527","81.940002441406","L. Allen","15"
"2019",1330477,37,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","0",0,"75.199996948242","35.610000610352","L. Allen","15"
"2019",1330477,44,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","drivinglayup","1",2,"8.1099996566772","39","M. Grays","35"
"2019",1330477,54,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","0",0,"14.039999961853","11.880000114441","K. Wilson","22"
"2019",1330477,56,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","1",3,"70.199996948242","26.85000038147","L. Allen","15"
"2019",1330477,61,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","1",3,"68.019996643066","47.479999542236","C. George","22"
"2019",1330477,72,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","0",0,"94.069999694824","97.190002441406","K. Purcell","32"
"2019",1330477,83,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","drivinglayup","1",2,"85.800003051758","66.400001525879","L. Allen","15"
"2019",1330477,85,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","0",0,"7.8000001907349","61.599998474121","M. Grays","35"
"2019",1330477,94,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","0",0,"94.849998474121","62.729999542236","C. George","22"
"2019",1330477,96,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","layup","1",2,"4.8400001525879","58.490001678467","D. Skinner","12"
"2019",1330477,98,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","0",0,"86.73999786377","78.830001831055","C. George","22"
"2019",1330477,112,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","0",0,"91.889999389648","61.029998779297","E. Magbegor","13"
"2019",1330477,114,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","0",0,"65.830001831055","57.639999389648","L. Allen","15"
"2019",1330477,116,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","pullupjumpshot","0",0,"79.099998474121","52.560001373291","L. Allen","15"
"2019",1330477,119,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","1",2,"94.379997253418","54.540000915527","E. Magbegor","13"
"2019",1330477,124,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","0",0,"8.2700004577637","33.919998168945","A. Wehrung","13"
"2019",1330477,138,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","jumpshot","0",0,"83.309997558594","73.75","E. Magbegor","13"
"2019",1330477,140,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","0",0,"10.920000076294","64.139999389648","T. Lavey","24"
"2019",1330477,143,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","3pt","jumpshot","1",3,"68.949996948242","65.839996337891","M. Conti","14"
"2019",1330477,145,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","3pt","jumpshot","1",3,"26.049999237061","83.919998168945","S. Heal","4"
"2019",1330477,146,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","layup","0",0,"93.76000213623","40.409999847412","A. Farnworth","7"
"2019",1330477,149,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","0",0,"14.659999847412","68.099998474121","D. Skinner","12"
"2019",1330477,164,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","layup","0",0,"11.859999656677","39","A. Wehrung","13"
"2019",1330477,172,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","1","2pt","jumpshot","1",2,"7.3299999237061","68.379997253418","K. Wilson","22"
"2019",1330477,174,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","1","2pt","floatingjumpshot","0",0,"85.019996643066","48.610000610352","M. Garrick","23"
"2019",1330477,189,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","layup","1",2,"6.0799999237061","55.099998474121","M. Grays","35"
"2019",1330477,191,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","stepbackjumpshot","0",0,"91.26000213623","75.160003662109","C. George","22"
"2019",1330477,193,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","0",0,"8.5799999237061","60.189998626709","G. Richards","20"
"2019",1330477,200,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","0",0,"6.710000038147","71.199996948242","A. Wehrung","13"
"2019",1330477,206,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","layup","0",0,"94.069999694824","38.720001220703","L. Allen","15"
"2019",1330477,215,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","3pt","jumpshot","0",0,"92.040000915527","96.629997253418","M. Garrick","23"
"2019",1330477,217,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","0",0,"10.609999656677","70.360000610352","K. Wilson","22"
"2019",1330477,219,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","jumpshot","0",0,"89.23999786377","70.919998168945","C. George","22"
"2019",1330477,221,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","3pt","jumpshot","0",0,"30.729999542236","65.839996337891","D. Skinner","12"
"2019",1330477,223,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","3pt","jumpshot","0",0,"82.839996337891","93.800003051758","M. Garrick","23"
"2019",1330477,229,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","1",2,"6.710000038147","40.130001068115","D. Skinner","12"
"2019",1330477,239,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","0",0,"7.6399998664856","44.090000152588","C. Ernst (nee Mijovic)","18"
"2019",1330477,252,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","turnaroundjumpshot","1",2,"5.6199998855591","62.159999847412","M. Grays","35"
"2019",1330477,254,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","drivinglayup","1",2,"86.73999786377","51.430000305176","L. Allen","15"
"2019",1330477,259,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","3pt","jumpshot","0",0,"24.64999961853","13.289999961853","C. Ernst (nee Mijovic)","18"
"2019",1330477,261,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","3pt","jumpshot","0",0,"28.549999237061","74.879997253418","M. Grays","35"
"2019",1330477,263,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","3pt","jumpshot","0",0,"75.040000915527","15.550000190735","C. George","22"
"2019",1330477,265,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","drivinglayup","1",2,"5.3000001907349","58.490001678467","S. Heal","4"
"2019",1330477,267,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","3pt","jumpshot","0",0,"68.330001831055","56.799999237061","C. George","22"
"2019",1330477,269,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","3pt","jumpshot","0",0,"93.919998168945","97.480003356934","M. Garrick","23"
"2019",1330477,271,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","3pt","jumpshot","1",3,"31.670000076294","40.700000762939","C. Ernst (nee Mijovic)","18"
"2019",1330477,273,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","layup","0",0,"93.139999389648","59.060001373291","E. Magbegor","13"
"2019",1330477,275,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","layup","1",2,"8.4200000762939","56.799999237061","M. Grays","35"
"2019",1330477,278,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","drivinglayup","1",2,"95.319999694824","42.389999389648","L. Allen","15"
"2019",1330477,290,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","fadeaway","1",2,"10.449999809265","66.120002746582","M. Grays","35"
"2019",1330477,299,"",1,"Bendigo Spirit","Bendigo Spirit","home","Melbourne Boomers","Melbourne Boomers","REGULAR","2","2pt","jumpshot","0",0,"13.10000038147","53.119998931885","M. Grays","35"
"2019",1330477,302,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","layup","1",2,"92.980003356934","54.819999694824","C. George","22"
"2019",1330477,307,"",2,"Melbourne Boomers","Melbourne Boomers","away","Bendigo Spirit","Bendigo Spirit","REGULAR","2","2pt","jumpshot","1",2,"78.940002441406","67.529998779297","C. George","22"
