"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","first_name","family_name","scoreboard_name","shirt_number"
2014,64511,14,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,6.25,33.333,"Rebecca","Allen","R. Allen",8
2014,64511,18,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,7.5,44.697,"Tess","Madgen","T. Madgen",9
2014,64511,21,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,6.667,63.636,"Rebecca","Cole","R. Cole",4
2014,64511,29,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,7.5,80.303,"Olivia","Thompson","O. Thompson",11
2014,64511,31,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,4.583,28.03,"Rebecca","Allen","R. Allen",8
2014,64511,40,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,10.417,41.667,"Rebecca","Allen","R. Allen",8
2014,64511,57,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,24.167,44.697,"Rebecca","Allen","R. Allen",8
2014,64511,61,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,12.5,71.97,"Tess","Madgen","T. Madgen",9
2014,64511,70,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,5.417,69.697,"Natalie","Burton","N. Burton",7
2014,64511,77,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,20,57.576,"Tess","Madgen","T. Madgen",9
2014,64511,84,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,12.083,49.242,"Tess","Madgen","T. Madgen",9
2014,64511,85,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,9.167,84.091,"Rebecca","Cole","R. Cole",4
2014,64511,99,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,10,23.485,"Natalie","Burton","N. Burton",7
2014,64511,103,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,14.167,38.636,"Rebecca","Cole","R. Cole",4
2014,64511,117,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,16.25,62.879,"Amelia","Todhunter","A. Todhunter",5
2014,64511,136,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,3.333,36.364,"Rebecca","Allen","R. Allen",8
2014,64511,156,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,8.333,54.545,"Rebecca","Cole","R. Cole",4
2014,64511,172,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,3.75,43.939,"Natalie","Burton","N. Burton",7
2014,64511,177,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,6.667,66.667,"Olivia","Thompson","O. Thompson",11
2014,64511,184,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,22.083,39.394,"Tess","Madgen","T. Madgen",9
2014,64511,194,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"3pt",,1,3,31.25,74.242,"Tess","Madgen","T. Madgen",9
2014,64511,201,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,22.917,47.727,"Natalie","Burton","N. Burton",7
2014,64511,205,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,8.333,50,"Tess","Madgen","T. Madgen",9
2014,64511,209,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"3pt",,0,0,29.167,76.515,"Rebecca","Allen","R. Allen",8
2014,64511,224,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,4.167,61.364,"Olivia","Thompson","O. Thompson",11
2014,64511,233,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,5.417,33.333,"Tess","Madgen","T. Madgen",9
2014,64511,237,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,9.583,68.939,"Shanae","Greaves","S. Greaves",10
2014,64511,247,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,10.417,50.758,"Kelly","Bowen","K. Bowen",6
2014,64511,254,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,23.333,43.182,"Amelia","Todhunter","A. Todhunter",5
2014,64511,257,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,13.333,15.909,"Kelly","Bowen","K. Bowen",6
2014,64511,261,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,18.75,46.97,"Olivia","Thompson","O. Thompson",11
2014,64511,264,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",0,0,21.667,39.394,"Kelly","Bowen","K. Bowen",6
2014,64511,279,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"2pt","jumpshot",1,2,6.667,45.455,"Rebecca","Cole","R. Cole",4
2014,64511,283,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",2,"3pt",,0,0,29.583,22.727,"Kelly","Bowen","K. Bowen",6
2014,64511,295,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,67.917,55.303,"Rebecca","Cole","R. Cole",4
2014,64511,299,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"3pt",,0,0,65.417,82.576,"Rebecca","Allen","R. Allen",8
2014,64511,301,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,70,67.424,"Tess","Madgen","T. Madgen",9
2014,64511,305,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,82.5,46.212,"Rebecca","Cole","R. Cole",4
2014,64511,309,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,86.25,38.636,"Natalie","Burton","N. Burton",7
2014,64511,316,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,80,66.667,"Olivia","Thompson","O. Thompson",11
2014,64511,324,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",1,2,84.583,40.152,"Olivia","Thompson","O. Thompson",11
2014,64511,339,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,81.667,11.364,"Rebecca","Allen","R. Allen",8
2014,64511,348,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals","REGULAR",3,"2pt","jumpshot",0,0,82.083,31.061,"Tess","Madgen","T. Madgen",9
