"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2016",311827,"Melbourne Boomers","Boomers","away","Monique","Conti","M","C","M. Conti","","0","05:31","2","0","2","2","1","1","100","0","0","0","1","1","100","0","0","0","0","0","0","1","1","1","0","0","1","0","-1"
"2016",311827,"Melbourne Boomers","Boomers","away","Madeleine","Garrick","M","G","M. Garrick","","1","30:58","8","0","0","4","4","16","25","0","4","0","4","12","33","0","2","0","5","0","5","2","2","1","0","0","0","1","-5"
"2016",311827,"Melbourne Boomers","Boomers","away","Kelly","Bowen","K","B","K. Bowen","","0","07:39","1","0","0","0","0","1","0","0","0","0","0","1","0","1","2","50","0","0","0","0","0","0","0","0","1","1","-4"
"2016",311827,"Melbourne Boomers","Boomers","away","Alice","Kunek","A","K","A. Kunek","","1","31:20","9","0","0","0","2","11","18","1","3","33","1","8","12","4","6","66","4","2","6","2","0","0","0","1","1","4","-3"
"2016",311827,"Melbourne Boomers","Boomers","away","Chante","Black","C","B","C. Black","","1","24:13","4","2","0","0","1","8","12","0","0","0","1","8","12","2","2","100","3","2","5","1","0","0","2","1","0","1","-4"
"2016",311828,"Dandenong Rangers","Rangers","home","Aimie","Clydesdale","A","C","A. Clydesdale","","1","29:11","6","4","0","2","2","4","50","0","0","0","2","4","50","2","2","100","2","0","2","3","2","1","2","0","3","1","-11"
"2016",311828,"Dandenong Rangers","Rangers","home","Rachel","Antoniadou","R","A","R. Antoniadou","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Dandenong Rangers","Rangers","home","Briahna","Whatman","B","W","B. Whatman","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Dandenong Rangers","Rangers","home","Stephanie","Cumming","S","C","S. Cumming","","1","38:50","24","0","2","12","9","20","45","1","3","33","8","17","47","5","5","100","2","1","3","5","1","0","1","0","4","4","-7"
"2016",311828,"Dandenong Rangers","Rangers","home","Jacinta","Kennedy","J","K","J. Kennedy","","0","11:47","2","2","0","2","1","4","25","0","1","0","1","3","33","0","0","0","1","1","2","2","0","0","0","2","1","1","5"
"2016",311828,"Dandenong Rangers","Rangers","home","Chloe","Bibby","C","B","C. Bibby","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Dandenong Rangers","Rangers","home","Lauren","Scherf","L","S","L. Scherf","","1","29:32","17","2","0","16","8","12","66","0","0","0","8","12","66","1","2","50","4","1","5","3","1","0","0","0","4","3","-9"
"2016",311828,"Dandenong Rangers","Rangers","home","Saraid","Taylor","S","T","S. Taylor","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Dandenong Rangers","Rangers","home","Amelia","Todhunter","A","T","A. Todhunter","","0","13:10","2","0","0","2","1","4","25","0","1","0","1","3","33","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"2016",311828,"Dandenong Rangers","Rangers","home","Sara","Blicavs","S","B","S. Blicavs","","1","35:14","17","0","2","6","6","11","54","1","1","100","5","10","50","4","4","100","3","1","4","5","2","3","0","0","3","2","-10"
"2016",311828,"Dandenong Rangers","Rangers","home","Rosemary","Fadljevic","R","F","R. Fadljevic","","0","11:00","1","0","0","0","0","2","0","0","1","0","0","1","0","1","2","50","1","0","1","0","0","1","0","0","1","1","-8"
"2016",311828,"Dandenong Rangers","Rangers","home","Ally","Malott","A","M","A. Malott","","1","31:11","16","0","0","4","7","9","77","2","2","100","5","7","71","0","1","0","5","1","6","3","0","0","0","0","4","2","-5"
"2016",311828,"Bendigo Spirit","Spirit","away","Blake","Dietrick","B","D","B. Dietrick","","0","17:21","2","0","0","2","1","3","33","0","1","0","1","2","50","0","0","0","1","1","2","4","1","0","0","0","1","0","8"
"2016",311828,"Bendigo Spirit","Spirit","away","Andrea","Wilson","A","W","A. Wilson","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Bendigo Spirit","Spirit","away","Kerryn","Harrington","K","H","K. Harrington","","1","22:38","15","3","0","0","5","9","55","4","7","57","1","2","50","1","2","50","1","1","2","2","2","1","0","1","3","2","1"
"2016",311828,"Bendigo Spirit","Spirit","away","Heather","Oliver","H","O","H. Oliver","","0","17:35","4","0","0","2","2","6","33","0","0","0","2","6","33","0","0","0","0","0","0","2","1","0","0","0","1","0","-2"
"2016",311828,"Bendigo Spirit","Spirit","away","Nayo","Raincock-Ekunwe","N","R","N. Raincock-Ekunwe","","1","30:53","19","4","0","14","7","12","58","0","0","0","7","12","58","5","6","83","7","4","11","4","0","0","1","0","3","6","15"
"2016",311828,"Bendigo Spirit","Spirit","away","Ashleigh","Spencer","A","S","A. Spencer","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Bendigo Spirit","Spirit","away","Nadeen","Payne","N","P","N. Payne","","0","26:30","14","2","0","4","4","9","44","1","2","50","3","7","42","5","6","83","6","3","9","3","2","0","0","0","2","4","12"
"2016",311828,"Bendigo Spirit","Spirit","away","Molly","Mathews","M","M","M. Mathews","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311828,"Bendigo Spirit","Spirit","away","Gabrielle","Richards","G","R","G. Richards","","1","22:36","10","4","0","6","3","5","60","0","0","0","3","5","60","4","4","100","1","2","3","3","0","0","1","2","2","4","-9"
"2016",311828,"Bendigo Spirit","Spirit","away","Ashleigh","Karaitiana","A","K","A. Karaitiana","","1","30:58","14","0","0","6","5","9","55","2","4","50","3","5","60","2","2","100","3","1","4","2","3","2","0","0","3","2","0"
"2016",311828,"Bendigo Spirit","Spirit","away","Kelsey","Griffin","K","G","K. Griffin","","1","31:26","16","0","0","0","6","13","46","4","6","66","2","7","28","0","0","0","2","1","3","2","2","0","0","0","0","2","20"
"2016",311829,"Townsville Fire","Fire","home","Natasha","Cloud","N","C","N. Cloud","","0","23:28","4","0","2","4","2","3","66","0","0","0","2","3","66","0","0","0","1","0","1","3","1","2","0","1","3","0","6"
"2016",311829,"Townsville Fire","Fire","home","Ainsley","Walsh","A","W","A. Walsh","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311829,"Townsville Fire","Fire","home","Haylee","Andrews","H","A","H. Andrews","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311829,"Townsville Fire","Fire","home","Suzy","Batkovic","S","B","S. Batkovic","","1","28:38","20","4","0","10","6","15","40","0","1","0","6","14","42","8","8","100","4","1","5","0","1","2","0","0","4","8","-9"
"2016",311829,"Townsville Fire","Fire","home","Mia","Murray","M","M","M. Murray","","1","30:25","9","0","0","0","3","13","23","3","7","42","0","6","0","0","0","0","4","3","7","3","2","0","2","2","2","3","-13"
"2016",311829,"Townsville Fire","Fire","home","Jacqui","Zelenka","J","Z","J. Zelenka","","0","00:27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"2016",311829,"Townsville Fire","Fire","home","Darcee","Garbin","D","G","D. Garbin","","0","15:24","5","2","0","2","2","7","28","1","3","33","1","4","25","0","0","0","3","0","3","2","2","0","0","0","2","0","-5"
"2016",311829,"Townsville Fire","Fire","home","Amy","Kame","A","K","A. Kame","","0","19:14","5","1","0","4","2","5","40","0","2","0","2","3","66","1","2","50","1","1","2","0","0","0","0","0","3","4","5"
